Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anarhichas,minor,49.25,0.25,1400:390:1,0.1
Anarhichas,minor,49.75,0.25,1400:390:3,0.04
Anarhichas,minor,49.75,0.75,1400:390:4,0.08
Anarhichas,minor,49.75,1.25,1400:391:3,0.08
Anarhichas,minor,50.25,0.25,1500:100:1,0.12
Anarhichas,minor,50.25,0.75,1500:100:2,0.18
Anarhichas,minor,50.75,0.25,1500:100:3,0.17
Anarhichas,minor,50.25,1.25,1500:101:1,0.05
Anarhichas,minor,50.25,1.75,1500:101:2,0.08
Anarhichas,minor,50.75,1.25,1500:101:3,0.18
Anarhichas,minor,50.75,1.75,1500:101:4,0.11
Anarhichas,minor,51.25,0.75,1500:110:2,0.05
Anarhichas,minor,51.75,0.75,1500:110:4,0.19
Anarhichas,minor,51.25,1.25,1500:111:1,0.17
Anarhichas,minor,51.25,1.75,1500:111:2,0.13
Anarhichas,minor,51.75,1.75,1500:111:4,0.05
Anarhichas,minor,51.25,2.25,1500:112:1,0.08
Anarhichas,minor,51.25,2.75,1500:112:2,0.04
Anarhichas,minor,51.75,2.25,1500:112:3,0.1
Anarhichas,minor,51.75,2.75,1500:112:4,0.08
Anarhichas,minor,51.75,3.25,1500:113:3,0.01
Anarhichas,minor,52.25,1.25,1500:121:1,0.13
Anarhichas,minor,52.25,2.25,1500:122:1,0.14
Anarhichas,minor,52.25,2.75,1500:122:2,0.13
Anarhichas,minor,52.75,2.25,1500:122:3,0.12
Anarhichas,minor,52.75,2.75,1500:122:4,0.14
Anarhichas,minor,52.25,3.25,1500:123:1,0.04
Anarhichas,minor,52.75,3.25,1500:123:3,0.08
Anarhichas,minor,52.75,3.75,1500:123:4,0.02
Anarhichas,minor,52.75,4.25,1500:124:3,0.01
Anarhichas,minor,52.75,4.75,1500:124:4,0.01
Anarhichas,minor,53.25,0.75,1500:130:2,0.07
Anarhichas,minor,53.75,0.25,1500:130:3,0.04
Anarhichas,minor,53.75,0.75,1500:130:4,0.11
Anarhichas,minor,53.25,1.25,1500:131:1,0.09
Anarhichas,minor,53.25,1.75,1500:131:2,0.08
Anarhichas,minor,53.75,1.25,1500:131:3,0.11
Anarhichas,minor,53.75,1.75,1500:131:4,0.06
Anarhichas,minor,53.25,2.25,1500:132:1,0.08
Anarhichas,minor,53.25,2.75,1500:132:2,0.06
Anarhichas,minor,53.75,2.25,1500:132:3,0.13
Anarhichas,minor,53.75,2.75,1500:132:4,0.09
Anarhichas,minor,53.25,3.25,1500:133:1,0.06
Anarhichas,minor,53.25,3.75,1500:133:2,0.03
Anarhichas,minor,53.75,3.25,1500:133:3,0.05
Anarhichas,minor,53.75,3.75,1500:133:4,0.05
Anarhichas,minor,53.25,4.25,1500:134:1,0.02
Anarhichas,minor,53.25,4.75,1500:134:2,0.1
Anarhichas,minor,53.75,4.25,1500:134:3,0.06
Anarhichas,minor,53.75,4.75,1500:134:4,0.08
Anarhichas,minor,54.25,0.25,1500:140:1,0.14
Anarhichas,minor,54.25,0.75,1500:140:2,0.13
Anarhichas,minor,54.25,1.25,1500:141:1,0.15
Anarhichas,minor,54.25,1.75,1500:141:2,0.09
Anarhichas,minor,54.75,1.25,1500:141:3,0.16
Anarhichas,minor,54.75,1.75,1500:141:4,0.04
Anarhichas,minor,54.25,2.25,1500:142:1,0.18
Anarhichas,minor,54.25,2.75,1500:142:2,0.11
Anarhichas,minor,54.75,2.25,1500:142:3,0.02
Anarhichas,minor,54.75,2.75,1500:142:4,0.03
Anarhichas,minor,54.25,3.25,1500:143:1,0.04
Anarhichas,minor,54.25,3.75,1500:143:2,0.03
Anarhichas,minor,54.75,3.25,1500:143:3,0.04
Anarhichas,minor,54.75,3.75,1500:143:4,0.04
Anarhichas,minor,54.25,4.25,1500:144:1,0.03
Anarhichas,minor,54.25,4.75,1500:144:2,0.04
Anarhichas,minor,54.75,4.25,1500:144:3,0.04
Anarhichas,minor,54.75,4.75,1500:144:4,0.04
Anarhichas,minor,52.75,5.25,1500:225:3,0.04
Anarhichas,minor,53.25,5.25,1500:235:1,0.04
Anarhichas,minor,53.25,5.75,1500:235:2,0.07
Anarhichas,minor,53.75,5.25,1500:235:3,0.1
