Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anoplarchus,purpurescens,60.75,-152.25,7615:102:3,0.03
Anoplarchus,purpurescens,60.25,-151.75,7615:101:2,0.15
Anoplarchus,purpurescens,60.75,-150.75,7615:100:4,0.03
Anoplarchus,purpurescens,60.75,-150.25,7615:100:3,0.12
Anoplarchus,purpurescens,61.25,-149.75,7614:219:2,0.03
Anoplarchus,purpurescens,61.25,-149.25,7614:219:1,0.15
Anoplarchus,purpurescens,61.25,-147.25,7614:217:1,0.19
Anoplarchus,purpurescens,58.75,-176.25,7517:486:3,0.02
Anoplarchus,purpurescens,58.75,-173.75,7517:383:4,0.04
Anoplarchus,purpurescens,58.75,-172.75,7517:382:4,0.03
Anoplarchus,purpurescens,58.75,-172.25,7517:382:3,0.01
Anoplarchus,purpurescens,58.25,-171.25,7517:381:1,0.02
Anoplarchus,purpurescens,57.25,-173.25,7517:373:1,0.15
Anoplarchus,purpurescens,57.75,-172.75,7517:372:4,0.04
Anoplarchus,purpurescens,57.75,-172.25,7517:372:3,0.17
Anoplarchus,purpurescens,57.25,-172.75,7517:372:2,0.1
Anoplarchus,purpurescens,57.75,-171.75,7517:371:4,0.05
Anoplarchus,purpurescens,57.75,-171.25,7517:371:3,0.12
Anoplarchus,purpurescens,57.25,-170.25,7517:370:1,0.17
Anoplarchus,purpurescens,57.75,-169.75,7516:479:4,0.04
Anoplarchus,purpurescens,57.25,-169.75,7516:479:2,0.17
Anoplarchus,purpurescens,57.25,-169.25,7516:479:1,0.04
Anoplarchus,purpurescens,57.25,-168.75,7516:478:2,0.09
Anoplarchus,purpurescens,56.75,-168.75,7516:468:4,0.06
Anoplarchus,purpurescens,59.75,-162.25,7516:392:3,0.02
Anoplarchus,purpurescens,59.75,-161.75,7516:391:4,0.02
Anoplarchus,purpurescens,59.25,-161.75,7516:391:2,0.02
Anoplarchus,purpurescens,54.25,-163.25,7516:143:1,0.07
Anoplarchus,purpurescens,53.75,-164.25,7516:134:3,0.07
Anoplarchus,purpurescens,59.25,-158.75,7515:498:2,0.02
Anoplarchus,purpurescens,59.25,-158.25,7515:498:1,0.03
Anoplarchus,purpurescens,59.25,-156.75,7515:496:2,0.11
Anoplarchus,purpurescens,58.75,-159.25,7515:489:3,0.01
Anoplarchus,purpurescens,58.75,-158.75,7515:488:4,0.06
Anoplarchus,purpurescens,58.75,-158.25,7515:488:3,0.11
Anoplarchus,purpurescens,58.75,-157.75,7515:487:4,0.18
Anoplarchus,purpurescens,57.25,-159.75,7515:479:2,0.01
Anoplarchus,purpurescens,56.75,-159.75,7515:469:4,0.09
Anoplarchus,purpurescens,56.75,-159.25,7515:469:3,0.06
Anoplarchus,purpurescens,56.75,-158.75,7515:468:4,0.04
Anoplarchus,purpurescens,56.25,-155.75,7515:465:2,0.07
Anoplarchus,purpurescens,56.25,-153.75,7515:363:2,0.07
Anoplarchus,purpurescens,52.75,-130.75,7513:120:4,0.14
Anoplarchus,purpurescens,38.25,-122.25,7312:382:1,0.19
Anoplarchus,purpurescens,37.75,-122.75,7312:372:4,0.1
Anoplarchus,purpurescens,34.25,-118.25,7311:248:1,0.1
Anoplarchus,purpurescens,33.75,-118.75,7311:238:4,0.16
Anoplarchus,purpurescens,33.75,-118.25,7311:238:3,0.13
Anoplarchus,purpurescens,33.25,-118.75,7311:238:2,0.16
Anoplarchus,purpurescens,33.25,-118.25,7311:238:1,0.08
Anoplarchus,purpurescens,33.25,-117.75,7311:237:2,0.05
Anoplarchus,purpurescens,32.75,-118.75,7311:228:4,0.09
Anoplarchus,purpurescens,32.75,-118.25,7311:228:3,0.1
Anoplarchus,purpurescens,32.75,-117.25,7311:227:3,0.07
Anoplarchus,purpurescens,32.25,-117.25,7311:227:1,0.1
Anoplarchus,purpurescens,61.25,174.75,1617:114:2,0.02
