Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cryptacanthodes,maculatus,39.75,-71.75,7307:391:4,0.06
Cryptacanthodes,maculatus,39.25,-72.75,7307:392:2,0.18
Cryptacanthodes,maculatus,42.75,-49.75,7404:229:4,0.09
Cryptacanthodes,maculatus,43.25,-49.25,7404:239:1,0.15
Cryptacanthodes,maculatus,47.75,-49.25,7404:479:3,0.18
Cryptacanthodes,maculatus,42.75,-50.75,7405:120:4,0.07
Cryptacanthodes,maculatus,47.25,-50.75,7405:370:2,0.18
Cryptacanthodes,maculatus,47.25,-51.25,7405:371:1,0.18
Cryptacanthodes,maculatus,47.25,-51.75,7405:371:2,0.13
Cryptacanthodes,maculatus,47.25,-53.25,7405:373:1,0.09
Cryptacanthodes,maculatus,49.75,-58.75,7405:498:4,0.11
Cryptacanthodes,maculatus,42.25,-64.75,7406:124:2,0.18
Cryptacanthodes,maculatus,43.75,-60.75,7406:130:4,0.17
Cryptacanthodes,maculatus,43.75,-61.25,7406:131:3,0.1
Cryptacanthodes,maculatus,43.75,-62.75,7406:132:4,0.16
Cryptacanthodes,maculatus,43.25,-63.25,7406:133:1,0.05
Cryptacanthodes,maculatus,43.75,-63.25,7406:133:3,0.1
Cryptacanthodes,maculatus,44.25,-62.75,7406:142:2,0.02
Cryptacanthodes,maculatus,41.75,-68.75,7406:218:4,0.07
Cryptacanthodes,maculatus,44.25,-65.75,7406:245:2,0.09
Cryptacanthodes,maculatus,44.75,-67.75,7406:247:4,0.09
Cryptacanthodes,maculatus,44.75,-68.25,7406:248:3,0.08
Cryptacanthodes,maculatus,44.75,-68.75,7406:248:4,0.07
Cryptacanthodes,maculatus,48.25,-66.75,7406:486:2,0.01
Cryptacanthodes,maculatus,49.25,-65.25,7406:495:1,0.09
Cryptacanthodes,maculatus,49.25,-65.75,7406:495:2,0.01
Cryptacanthodes,maculatus,49.75,-65.25,7406:495:3,0.05
Cryptacanthodes,maculatus,49.75,-66.75,7406:496:4,0.04
Cryptacanthodes,maculatus,49.25,-67.25,7406:497:1,0.02
Cryptacanthodes,maculatus,49.25,-67.75,7406:497:2,0.03
Cryptacanthodes,maculatus,49.75,-67.25,7406:497:3,0.06
Cryptacanthodes,maculatus,49.25,-68.25,7406:498:1,0.02
Cryptacanthodes,maculatus,49.25,-68.75,7406:498:2,0.01
Cryptacanthodes,maculatus,40.75,-73.75,7407:103:4,0.19
Cryptacanthodes,maculatus,40.25,-74.25,7407:104:1,0.03
Cryptacanthodes,maculatus,40.75,-74.25,7407:104:3,0.06
Cryptacanthodes,maculatus,41.25,-72.75,7407:112:2,0.02
Cryptacanthodes,maculatus,41.25,-73.75,7407:113:2,0.12
Cryptacanthodes,maculatus,42.25,-71.25,7407:121:1,0.07
Cryptacanthodes,maculatus,51.75,-54.75,7505:114:4,0.09
Cryptacanthodes,maculatus,50.25,-58.25,7505:208:1,0.09
Cryptacanthodes,maculatus,51.75,-57.25,7505:217:3,0.19
Cryptacanthodes,maculatus,53.25,-55.75,7505:235:2,0.01
Cryptacanthodes,maculatus,53.25,-56.25,7505:236:1,0.01
Cryptacanthodes,maculatus,53.75,-56.75,7505:236:4,0.04
Cryptacanthodes,maculatus,53.75,-57.25,7505:237:3,0.13
Cryptacanthodes,maculatus,53.75,-58.75,7505:238:4,0.17
Cryptacanthodes,maculatus,53.25,-59.75,7505:239:2,0.16
Cryptacanthodes,maculatus,53.75,-59.25,7505:239:3,0.12
Cryptacanthodes,maculatus,54.25,-56.25,7505:246:1,0.01
Cryptacanthodes,maculatus,54.25,-57.25,7505:247:1,0.04
Cryptacanthodes,maculatus,54.25,-57.75,7505:247:2,0.15
Cryptacanthodes,maculatus,54.25,-58.25,7505:248:1,0.08
Cryptacanthodes,maculatus,53.25,-60.25,7506:130:1,0.11
Cryptacanthodes,maculatus,53.75,-60.25,7506:130:3,0.02
Cryptacanthodes,maculatus,50.25,-65.25,7506:205:1,0.13
Cryptacanthodes,maculatus,50.25,-65.75,7506:205:2,0.1
Cryptacanthodes,maculatus,50.25,-66.25,7506:206:1,0.1
Cryptacanthodes,maculatus,50.25,-66.75,7506:206:2,0.08
Cryptacanthodes,maculatus,39.75,-72.25,7307:392:3,0.27
Cryptacanthodes,maculatus,39.25,-73.25,7307:393:1,0.39
Cryptacanthodes,maculatus,44.75,-54.25,7405:144:3,0.33
Cryptacanthodes,maculatus,46.75,-51.75,7405:361:4,0.38
Cryptacanthodes,maculatus,46.75,-54.75,7405:364:4,0.33
Cryptacanthodes,maculatus,47.75,-50.25,7405:370:3,0.22
Cryptacanthodes,maculatus,48.25,-51.25,7405:381:1,0.25
Cryptacanthodes,maculatus,45.75,-57.75,7405:457:4,0.29
Cryptacanthodes,maculatus,46.75,-57.75,7405:467:4,0.22
Cryptacanthodes,maculatus,46.25,-58.75,7405:468:2,0.35
Cryptacanthodes,maculatus,47.25,-56.75,7405:476:2,0.36
Cryptacanthodes,maculatus,48.75,-59.75,7405:489:4,0.27
Cryptacanthodes,maculatus,49.25,-55.25,7405:495:1,0.27
Cryptacanthodes,maculatus,43.75,-61.75,7406:131:4,0.23
Cryptacanthodes,maculatus,43.75,-62.25,7406:132:3,0.23
Cryptacanthodes,maculatus,43.25,-64.25,7406:134:1,0.35
Cryptacanthodes,maculatus,40.75,-66.75,7406:206:4,0.3
Cryptacanthodes,maculatus,40.25,-68.25,7406:208:1,0.27
Cryptacanthodes,maculatus,43.25,-68.75,7406:238:2,0.22
Cryptacanthodes,maculatus,43.25,-69.25,7406:239:1,0.31
Cryptacanthodes,maculatus,47.75,-60.25,7406:370:3,0.29
Cryptacanthodes,maculatus,49.25,-60.75,7406:390:2,0.38
Cryptacanthodes,maculatus,49.75,-63.25,7406:393:3,0.31
Cryptacanthodes,maculatus,49.25,-64.25,7406:394:1,0.39
Cryptacanthodes,maculatus,49.25,-64.75,7406:394:2,0.25
Cryptacanthodes,maculatus,49.75,-64.25,7406:394:3,0.35
Cryptacanthodes,maculatus,49.75,-64.75,7406:394:4,0.2
Cryptacanthodes,maculatus,47.75,-66.25,7406:476:3,0.35
Cryptacanthodes,maculatus,48.25,-65.75,7406:485:2,0.34
Cryptacanthodes,maculatus,48.25,-66.25,7406:486:1,0.2
Cryptacanthodes,maculatus,40.25,-70.75,7407:100:2,0.33
Cryptacanthodes,maculatus,40.25,-71.25,7407:101:1,0.36
Cryptacanthodes,maculatus,41.75,-71.25,7407:111:3,0.32
Cryptacanthodes,maculatus,41.25,-73.25,7407:113:1,0.2
Cryptacanthodes,maculatus,52.25,-55.25,7505:225:1,0.26
Cryptacanthodes,maculatus,52.25,-55.75,7505:225:2,0.31
Cryptacanthodes,maculatus,52.75,-55.75,7505:225:4,0.26
Cryptacanthodes,maculatus,50.25,-62.75,7506:102:2,0.38
Cryptacanthodes,maculatus,50.25,-63.25,7506:103:1,0.34
Cryptacanthodes,maculatus,50.25,-63.75,7506:103:2,0.32
Cryptacanthodes,maculatus,50.25,-64.25,7506:104:1,0.26
Cryptacanthodes,maculatus,50.25,-64.75,7506:104:2,0.2
Cryptacanthodes,maculatus,39.75,-72.75,7307:392:4,0.48
Cryptacanthodes,maculatus,39.25,-73.75,7307:393:2,0.5
Cryptacanthodes,maculatus,39.75,-73.25,7307:393:3,0.53
Cryptacanthodes,maculatus,39.75,-73.75,7307:393:4,0.58
