Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,concolor,43.75,135.25,1413:235:3,0.08
Lycodes,concolor,44.25,136.25,1413:246:1,0.09
Lycodes,concolor,44.75,136.75,1413:246:4,0.18
Lycodes,concolor,45.25,137.75,1413:457:2,0.07
Lycodes,concolor,45.75,138.25,1413:458:3,0.08
Lycodes,concolor,46.25,138.75,1413:468:2,0.09
Lycodes,concolor,46.75,139.25,1413:469:3,0.09
Lycodes,concolor,43.25,144.75,1414:134:2,0.06
Lycodes,concolor,44.25,143.25,1414:143:1,0.04
Lycodes,concolor,43.25,145.25,1414:235:1,0.02
Lycodes,concolor,43.25,145.75,1414:235:2,0.18
Lycodes,concolor,43.75,145.25,1414:235:3,0.11
Lycodes,concolor,43.75,145.75,1414:235:4,0.14
Lycodes,concolor,43.25,147.25,1414:237:1,0.15
Lycodes,concolor,43.75,148.25,1414:238:3,0.05
Lycodes,concolor,45.75,142.25,1414:352:3,0.07
Lycodes,concolor,46.75,142.25,1414:362:3,0.01
Lycodes,concolor,47.25,140.25,1414:370:1,0.01
Lycodes,concolor,47.75,140.75,1414:370:4,0.19
Lycodes,concolor,47.25,141.75,1414:371:2,0.05
Lycodes,concolor,47.25,142.75,1414:372:2,0.13
Lycodes,concolor,48.75,140.25,1414:380:3,0.12
Lycodes,concolor,49.25,143.25,1414:393:1,0.19
Lycodes,concolor,49.75,144.25,1414:394:3,0.19
Lycodes,concolor,48.25,146.75,1414:486:2,0.12
Lycodes,concolor,48.75,148.25,1414:488:3,0.01
Lycodes,concolor,49.75,147.25,1414:497:3,0.03
Lycodes,concolor,49.25,148.25,1414:498:1,0.02
Lycodes,concolor,49.25,148.75,1414:498:2,0.03
Lycodes,concolor,49.75,148.25,1414:498:3,0.03
Lycodes,concolor,49.75,148.75,1414:498:4,0.07
Lycodes,concolor,49.25,149.25,1414:499:1,0.1
Lycodes,concolor,49.25,149.75,1414:499:2,0.16
Lycodes,concolor,49.75,149.25,1414:499:3,0.11
Lycodes,concolor,49.75,149.75,1414:499:4,0.13
Lycodes,concolor,46.25,151.75,1415:361:2,0.14
Lycodes,concolor,49.25,150.25,1415:390:1,0.17
Lycodes,concolor,49.75,150.25,1415:390:3,0.18
Lycodes,concolor,49.25,151.25,1415:391:1,0.08
Lycodes,concolor,55.75,136.75,1513:456:4,0.07
Lycodes,concolor,55.75,138.25,1513:458:3,0.17
Lycodes,concolor,55.75,138.75,1513:458:4,0.09
Lycodes,concolor,55.75,139.25,1513:459:3,0.06
Lycodes,concolor,56.25,137.25,1513:467:1,0.15
Lycodes,concolor,56.25,139.75,1513:469:2,0.15
Lycodes,concolor,50.75,141.75,1514:101:4,0.16
Lycodes,concolor,51.75,140.75,1514:110:4,0.01
Lycodes,concolor,51.25,141.25,1514:111:1,0.1
Lycodes,concolor,51.25,141.75,1514:111:2,0.04
Lycodes,concolor,51.25,142.25,1514:112:1,0.12
Lycodes,concolor,52.75,143.25,1514:123:3,0.09
Lycodes,concolor,53.25,143.75,1514:133:2,0.19
Lycodes,concolor,53.75,143.25,1514:133:3,0.12
Lycodes,concolor,53.75,143.75,1514:133:4,0.17
Lycodes,concolor,53.25,144.75,1514:134:2,0.04
Lycodes,concolor,53.75,144.75,1514:134:4,0.01
Lycodes,concolor,54.75,143.25,1514:143:3,0.02
Lycodes,concolor,54.75,144.75,1514:144:4,0.13
Lycodes,concolor,50.75,146.75,1514:206:4,0.16
Lycodes,concolor,50.25,148.25,1514:208:1,0.02
Lycodes,concolor,50.25,148.75,1514:208:2,0.03
Lycodes,concolor,50.25,149.25,1514:209:1,0.03
Lycodes,concolor,51.75,145.25,1514:215:3,0.17
Lycodes,concolor,51.75,148.75,1514:218:4,0.02
Lycodes,concolor,51.75,149.25,1514:219:3,0.05
Lycodes,concolor,51.75,149.75,1514:219:4,0.1
Lycodes,concolor,52.25,148.25,1514:228:1,0.01
Lycodes,concolor,52.25,148.75,1514:228:2,0.04
Lycodes,concolor,52.25,149.25,1514:229:1,0.06
Lycodes,concolor,52.25,149.75,1514:229:2,0.08
Lycodes,concolor,53.75,148.25,1514:238:3,0.04
Lycodes,concolor,53.75,148.75,1514:238:4,0.04
Lycodes,concolor,53.75,149.25,1514:239:3,0.07
Lycodes,concolor,53.75,149.75,1514:239:4,0.16
Lycodes,concolor,54.75,146.25,1514:246:3,0.15
Lycodes,concolor,54.75,146.75,1514:246:4,0.14
Lycodes,concolor,54.25,147.25,1514:247:1,0.06
Lycodes,concolor,54.25,147.75,1514:247:2,0.14
Lycodes,concolor,54.75,147.25,1514:247:3,0.17
Lycodes,concolor,54.75,147.75,1514:247:4,0.14
Lycodes,concolor,54.25,148.25,1514:248:1,0.14
Lycodes,concolor,54.75,148.25,1514:248:3,0.19
Lycodes,concolor,55.25,142.75,1514:352:2,0.07
Lycodes,concolor,55.75,142.25,1514:352:3,0.08
Lycodes,concolor,55.75,142.75,1514:352:4,0.18
Lycodes,concolor,55.25,143.25,1514:353:1,0.19
Lycodes,concolor,56.25,140.25,1514:360:1,0.05
Lycodes,concolor,56.25,140.75,1514:360:2,0.02
Lycodes,concolor,56.75,140.75,1514:360:4,0.15
Lycodes,concolor,56.25,141.25,1514:361:1,0.02
Lycodes,concolor,56.25,141.75,1514:361:2,0.05
Lycodes,concolor,56.75,141.25,1514:361:3,0.11
Lycodes,concolor,56.75,141.75,1514:361:4,0.1
Lycodes,concolor,56.25,142.25,1514:362:1,0.1
Lycodes,concolor,56.25,142.75,1514:362:2,0.16
Lycodes,concolor,56.75,142.25,1514:362:3,0.11
Lycodes,concolor,56.75,142.75,1514:362:4,0.12
Lycodes,concolor,56.25,143.25,1514:363:1,0.18
Lycodes,concolor,56.25,143.75,1514:363:2,0.18
Lycodes,concolor,56.75,143.25,1514:363:3,0.12
Lycodes,concolor,56.75,143.75,1514:363:4,0.11
Lycodes,concolor,56.75,144.25,1514:364:3,0.11
Lycodes,concolor,56.75,144.75,1514:364:4,0.14
Lycodes,concolor,57.25,141.75,1514:371:2,0.18
Lycodes,concolor,57.25,142.25,1514:372:1,0.14
Lycodes,concolor,57.25,142.75,1514:372:2,0.11
Lycodes,concolor,57.75,142.75,1514:372:4,0.18
Lycodes,concolor,57.25,143.25,1514:373:1,0.08
Lycodes,concolor,57.25,143.75,1514:373:2,0.09
Lycodes,concolor,57.75,143.25,1514:373:3,0.15
Lycodes,concolor,57.75,143.75,1514:373:4,0.12
Lycodes,concolor,57.25,144.25,1514:374:1,0.09
Lycodes,concolor,57.25,144.75,1514:374:2,0.1
Lycodes,concolor,57.75,144.25,1514:374:3,0.12
Lycodes,concolor,57.75,144.75,1514:374:4,0.12
Lycodes,concolor,55.75,147.25,1514:457:3,0.19
Lycodes,concolor,56.75,145.25,1514:465:3,0.15
Lycodes,concolor,56.75,145.75,1514:465:4,0.15
Lycodes,concolor,56.75,146.25,1514:466:3,0.16
Lycodes,concolor,56.75,146.75,1514:466:4,0.17
Lycodes,concolor,56.75,147.25,1514:467:3,0.19
Lycodes,concolor,56.75,147.75,1514:467:4,0.19
Lycodes,concolor,57.25,145.25,1514:475:1,0.11
Lycodes,concolor,57.25,145.75,1514:475:2,0.08
Lycodes,concolor,57.75,145.25,1514:475:3,0.11
Lycodes,concolor,57.75,145.75,1514:475:4,0.11
Lycodes,concolor,57.25,146.25,1514:476:1,0.07
Lycodes,concolor,57.25,146.75,1514:476:2,0.09
Lycodes,concolor,57.75,146.25,1514:476:3,0.12
Lycodes,concolor,57.75,146.75,1514:476:4,0.1
Lycodes,concolor,57.25,147.25,1514:477:1,0.12
Lycodes,concolor,57.25,147.75,1514:477:2,0.11
Lycodes,concolor,57.75,147.25,1514:477:3,0.14
Lycodes,concolor,57.75,147.75,1514:477:4,0.14
Lycodes,concolor,57.75,148.25,1514:478:3,0.13
Lycodes,concolor,58.25,148.75,1514:488:2,0.11
Lycodes,concolor,58.75,148.25,1514:488:3,0.14
Lycodes,concolor,58.75,149.75,1514:489:4,0.15
Lycodes,concolor,59.25,148.25,1514:498:1,0.16
Lycodes,concolor,59.75,148.75,1514:498:4,0.15
Lycodes,concolor,50.25,152.75,1515:102:2,0.02
Lycodes,concolor,50.75,152.25,1515:102:3,0.05
Lycodes,concolor,50.25,154.25,1515:104:1,0.17
Lycodes,concolor,51.75,150.25,1515:110:3,0.11
Lycodes,concolor,51.75,150.75,1515:110:4,0.04
Lycodes,concolor,51.25,151.75,1515:111:2,0.07
Lycodes,concolor,51.25,152.25,1515:112:1,0.15
Lycodes,concolor,52.25,150.25,1515:120:1,0.07
Lycodes,concolor,52.25,150.75,1515:120:2,0.06
Lycodes,concolor,52.75,150.25,1515:120:3,0.01
Lycodes,concolor,52.75,150.75,1515:120:4,0.08
Lycodes,concolor,52.25,151.25,1515:121:1,0.19
Lycodes,concolor,53.25,150.25,1515:130:1,0.13
Lycodes,concolor,50.75,156.25,1515:206:3,0.08
Lycodes,concolor,50.75,156.75,1515:206:4,0.15
Lycodes,concolor,51.25,156.75,1515:216:2,0.03
Lycodes,concolor,51.75,156.75,1515:216:4,0.01
Lycodes,concolor,51.25,157.75,1515:217:2,0.06
Lycodes,concolor,54.75,155.75,1515:245:4,0.11
Lycodes,concolor,58.25,150.75,1515:380:2,0.14
Lycodes,concolor,58.75,150.25,1515:380:3,0.17
Lycodes,concolor,58.75,152.25,1515:382:3,0.19
Lycodes,concolor,58.75,152.75,1515:382:4,0.09
Lycodes,concolor,58.75,153.25,1515:383:3,0.07
Lycodes,concolor,58.75,153.75,1515:383:4,0.11
Lycodes,concolor,58.75,154.25,1515:384:3,0.11
Lycodes,concolor,58.75,154.75,1515:384:4,0.12
Lycodes,concolor,59.25,150.25,1515:390:1,0.18
Lycodes,concolor,59.25,152.75,1515:392:2,0.06
Lycodes,concolor,59.25,153.25,1515:393:1,0.12
Lycodes,concolor,59.25,153.75,1515:393:2,0.04
Lycodes,concolor,59.25,154.25,1515:394:1,0.03
Lycodes,concolor,59.25,154.75,1515:394:2,0.01
Lycodes,concolor,55.75,155.75,1515:455:4,0.01
Lycodes,concolor,56.25,155.75,1515:465:2,0.19
Lycodes,concolor,56.75,156.25,1515:466:3,0.1
Lycodes,concolor,57.75,157.25,1515:477:3,0.06
Lycodes,concolor,57.75,157.75,1515:477:4,0.03
Lycodes,concolor,58.75,155.25,1515:485:3,0.15
Lycodes,concolor,58.25,158.75,1515:488:2,0.19
Lycodes,concolor,58.25,159.25,1515:489:1,0.03
Lycodes,concolor,58.75,159.75,1515:489:4,0.09
Lycodes,concolor,59.25,155.75,1515:495:2,0.03
Lycodes,concolor,59.25,156.25,1515:496:1,0.1
Lycodes,concolor,59.25,156.75,1515:496:2,0.13
Lycodes,concolor,59.75,156.25,1515:496:3,0.01
Lycodes,concolor,59.75,156.75,1515:496:4,0.06
Lycodes,concolor,59.25,157.25,1515:497:1,0.14
Lycodes,concolor,59.25,157.75,1515:497:2,0.18
Lycodes,concolor,59.75,157.25,1515:497:3,0.08
Lycodes,concolor,59.75,157.75,1515:497:4,0.12
Lycodes,concolor,59.75,158.25,1515:498:3,0.15
Lycodes,concolor,59.75,158.75,1515:498:4,0.18
Lycodes,concolor,54.75,162.25,1516:142:3,0.08
Lycodes,concolor,56.25,163.75,1516:363:2,0.19
Lycodes,concolor,56.75,163.75,1516:363:4,0.16
Lycodes,concolor,57.75,162.75,1516:372:4,0.03
Lycodes,concolor,58.25,162.25,1516:382:1,0.04
Lycodes,concolor,58.25,162.75,1516:382:2,0.12
Lycodes,concolor,58.75,162.25,1516:382:3,0.12
Lycodes,concolor,58.75,163.75,1516:383:4,0.03
Lycodes,concolor,55.25,166.25,1516:456:1,0.17
Lycodes,concolor,58.25,169.75,1516:489:2,0.1
Lycodes,concolor,52.75,170.75,1517:120:4,0.11
Lycodes,concolor,52.75,171.25,1517:121:3,0.19
Lycodes,concolor,53.25,170.75,1517:130:2,0.07
Lycodes,concolor,53.25,171.25,1517:131:1,0.08
Lycodes,concolor,53.25,171.75,1517:131:2,0.19
Lycodes,concolor,54.75,176.25,1517:246:3,0.04
Lycodes,concolor,54.75,176.75,1517:246:4,0.06
Lycodes,concolor,54.75,177.25,1517:247:3,0.04
Lycodes,concolor,54.75,178.25,1517:248:3,0.1
Lycodes,concolor,54.75,178.75,1517:248:4,0.09
Lycodes,concolor,54.75,179.25,1517:249:3,0.08
Lycodes,concolor,54.75,179.75,1517:249:4,0.03
Lycodes,concolor,57.25,170.25,1517:370:1,0.02
Lycodes,concolor,57.25,170.75,1517:370:2,0.03
Lycodes,concolor,57.75,170.25,1517:370:3,0.11
Lycodes,concolor,57.75,171.25,1517:371:3,0.15
Lycodes,concolor,58.25,171.25,1517:381:1,0.1
Lycodes,concolor,59.25,171.25,1517:391:1,0.17
Lycodes,concolor,60.25,154.25,1615:104:1,0.01
Lycodes,concolor,60.25,155.25,1615:205:1,0.04
Lycodes,concolor,60.75,155.25,1615:205:3,0.02
Lycodes,concolor,60.75,155.75,1615:205:4,0.09
Lycodes,concolor,60.25,156.75,1615:206:2,0.01
Lycodes,concolor,60.75,156.25,1615:206:3,0.07
Lycodes,concolor,60.75,156.75,1615:206:4,0.04
Lycodes,concolor,60.25,157.25,1615:207:1,0.05
Lycodes,concolor,60.25,157.75,1615:207:2,0.08
Lycodes,concolor,60.75,157.25,1615:207:3,0.07
Lycodes,concolor,60.75,157.75,1615:207:4,0.1
Lycodes,concolor,60.25,158.25,1615:208:1,0.11
Lycodes,concolor,60.25,158.75,1615:208:2,0.14
Lycodes,concolor,60.75,158.25,1615:208:3,0.15
Lycodes,concolor,60.75,158.75,1615:208:4,0.19
Lycodes,concolor,60.25,159.25,1615:209:1,0.15
Lycodes,concolor,60.25,159.75,1615:209:2,0.13
Lycodes,concolor,61.25,156.25,1615:216:1,0.17
Lycodes,concolor,60.25,160.25,1616:100:1,0.1
Lycodes,concolor,60.25,160.75,1616:100:2,0.1
Lycodes,concolor,60.75,160.25,1616:100:3,0.12
Lycodes,concolor,60.25,161.25,1616:101:1,0.15
Lycodes,concolor,60.25,161.75,1616:101:2,0.15
Lycodes,concolor,60.25,162.25,1616:102:1,0.03
Lycodes,concolor,60.75,162.25,1616:102:3,0.02
Lycodes,concolor,60.75,162.75,1616:102:4,0.04
Lycodes,concolor,60.25,164.25,1616:104:1,0.16
Lycodes,concolor,61.25,160.25,1616:110:1,0.06
Lycodes,concolor,61.25,161.25,1616:111:1,0.03
Lycodes,concolor,60.25,169.75,1616:209:2,0.09
Lycodes,concolor,61.25,172.75,1617:112:2,0.13
Lycodes,concolor,61.25,173.25,1617:113:1,0.15
Lycodes,concolor,61.75,173.25,1617:113:3,0.07
Lycodes,concolor,61.75,173.75,1617:113:4,0.01
Lycodes,concolor,60.25,179.75,1617:209:2,0.05
Lycodes,concolor,61.75,175.25,1617:215:3,0.14
Lycodes,concolor,61.25,177.75,1617:217:2,0.14
Lycodes,concolor,61.75,179.25,1617:219:3,0.17
Lycodes,concolor,61.75,179.75,1617:219:4,0.19
Lycodes,concolor,62.25,175.25,1617:225:1,0.02
Lycodes,concolor,62.25,175.75,1617:225:2,0.03
Lycodes,concolor,62.25,177.25,1617:227:1,0.03
Lycodes,concolor,62.75,177.75,1617:227:4,0.01
Lycodes,concolor,62.75,178.25,1617:228:3,0.01
Lycodes,concolor,62.25,179.75,1617:229:2,0.02
Lycodes,concolor,56.75,-132.75,7513:362:4,0.02
Lycodes,concolor,56.25,-133.25,7513:363:1,0.05
Lycodes,concolor,56.25,-133.75,7513:363:2,0.11
Lycodes,concolor,56.75,-133.25,7513:363:3,0.01
Lycodes,concolor,56.25,-134.75,7513:364:2,0.11
Lycodes,concolor,56.75,-134.25,7513:364:3,0.1
Lycodes,concolor,56.75,-134.75,7513:364:4,0.15
Lycodes,concolor,57.25,-134.25,7513:374:1,0.01
Lycodes,concolor,57.25,-134.75,7513:374:2,0.02
Lycodes,concolor,58.25,-134.75,7513:384:2,0.06
Lycodes,concolor,58.75,-134.75,7513:384:4,0.01
Lycodes,concolor,57.25,-135.25,7513:475:1,0.03
Lycodes,concolor,57.75,-135.25,7513:475:3,0.07
Lycodes,concolor,57.75,-135.75,7513:475:4,0.03
Lycodes,concolor,57.75,-136.25,7513:476:3,0.02
Lycodes,concolor,58.25,-135.25,7513:485:1,0.09
Lycodes,concolor,58.25,-135.75,7513:485:2,0.09
Lycodes,concolor,58.75,-135.25,7513:485:3,0.13
Lycodes,concolor,58.75,-135.75,7513:485:4,0.07
Lycodes,concolor,58.25,-136.25,7513:486:1,0.03
Lycodes,concolor,58.25,-136.75,7513:486:2,0.12
Lycodes,concolor,58.75,-136.25,7513:486:3,0.15
Lycodes,concolor,58.75,-136.75,7513:486:4,0.18
Lycodes,concolor,58.75,-137.25,7513:487:3,0.15
Lycodes,concolor,58.75,-137.75,7513:487:4,0.07
Lycodes,concolor,59.25,-135.25,7513:495:1,0.11
Lycodes,concolor,59.25,-138.25,7513:498:1,0.13
Lycodes,concolor,59.25,-138.75,7513:498:2,0.11
Lycodes,concolor,50.75,-143.25,7514:103:3,0.02
Lycodes,concolor,53.75,-144.25,7514:134:3,0.03
Lycodes,concolor,53.75,-148.25,7514:238:3,0.17
Lycodes,concolor,54.25,-148.25,7514:248:1,0.01
Lycodes,concolor,55.25,-140.25,7514:350:1,0.04
Lycodes,concolor,59.75,-140.25,7514:390:3,0.16
Lycodes,concolor,59.75,-140.75,7514:390:4,0.11
Lycodes,concolor,59.75,-141.25,7514:391:3,0.06
Lycodes,concolor,59.75,-141.75,7514:391:4,0.07
Lycodes,concolor,59.75,-142.25,7514:392:3,0.01
Lycodes,concolor,59.25,-143.75,7514:393:2,0.01
Lycodes,concolor,59.75,-143.75,7514:393:4,0.02
Lycodes,concolor,59.25,-144.75,7514:394:2,0.06
Lycodes,concolor,59.75,-144.25,7514:394:3,0.06
Lycodes,concolor,59.75,-144.75,7514:394:4,0.09
Lycodes,concolor,56.25,-145.25,7514:465:1,0.15
Lycodes,concolor,57.25,-149.75,7514:479:2,0.15
Lycodes,concolor,59.25,-145.25,7514:495:1,0.08
Lycodes,concolor,59.25,-145.75,7514:495:2,0.09
Lycodes,concolor,59.75,-145.25,7514:495:3,0.1
Lycodes,concolor,59.75,-145.75,7514:495:4,0.13
Lycodes,concolor,59.25,-146.25,7514:496:1,0.09
Lycodes,concolor,59.25,-146.75,7514:496:2,0.13
Lycodes,concolor,59.75,-146.25,7514:496:3,0.12
Lycodes,concolor,59.75,-146.75,7514:496:4,0.16
Lycodes,concolor,59.25,-147.25,7514:497:1,0.17
Lycodes,concolor,54.25,-150.25,7515:140:1,0.16
Lycodes,concolor,56.75,-150.75,7515:360:4,0.01
Lycodes,concolor,56.25,-151.75,7515:361:2,0.05
Lycodes,concolor,56.75,-154.25,7515:364:3,0.03
Lycodes,concolor,57.25,-153.25,7515:373:1,0.03
Lycodes,concolor,57.25,-153.75,7515:373:2,0.03
Lycodes,concolor,57.75,-153.25,7515:373:3,0.05
Lycodes,concolor,57.25,-154.25,7515:374:1,0.06
Lycodes,concolor,59.75,-150.25,7515:390:3,0.14
Lycodes,concolor,59.75,-150.75,7515:390:4,0.03
Lycodes,concolor,59.75,-152.75,7515:392:4,0.13
Lycodes,concolor,59.75,-153.25,7515:393:3,0.17
Lycodes,concolor,56.75,-159.25,7515:469:3,0.19
Lycodes,concolor,57.75,-157.75,7515:477:4,0.02
Lycodes,concolor,57.25,-158.25,7515:478:1,0.02
Lycodes,concolor,57.25,-158.75,7515:478:2,0.05
Lycodes,concolor,57.25,-159.25,7515:479:1,0.15
Lycodes,concolor,57.75,-159.75,7515:479:4,0.03
Lycodes,concolor,53.75,-161.25,7516:131:3,0.18
Lycodes,concolor,54.75,-162.25,7516:142:3,0.19
Lycodes,concolor,55.75,-161.75,7516:351:4,0.02
Lycodes,concolor,55.25,-163.25,7516:353:1,0.14
Lycodes,concolor,56.25,-160.25,7516:360:1,0.16
Lycodes,concolor,56.25,-160.75,7516:360:2,0.19
Lycodes,concolor,57.75,-160.25,7516:370:3,0.07
Lycodes,concolor,57.75,-160.75,7516:370:4,0.08
Lycodes,concolor,57.75,-161.25,7516:371:3,0.04
Lycodes,concolor,57.75,-161.75,7516:371:4,0.04
Lycodes,concolor,57.25,-162.25,7516:372:1,0.17
Lycodes,concolor,57.25,-162.75,7516:372:2,0.13
Lycodes,concolor,57.75,-162.25,7516:372:3,0.03
Lycodes,concolor,57.75,-162.75,7516:372:4,0.01
Lycodes,concolor,57.25,-163.25,7516:373:1,0.18
Lycodes,concolor,57.25,-163.75,7516:373:2,0.16
Lycodes,concolor,57.75,-163.25,7516:373:3,0.02
Lycodes,concolor,57.75,-163.75,7516:373:4,0.04
Lycodes,concolor,57.25,-164.25,7516:374:1,0.13
Lycodes,concolor,57.25,-164.75,7516:374:2,0.13
Lycodes,concolor,57.75,-164.25,7516:374:3,0.05
Lycodes,concolor,57.75,-164.75,7516:374:4,0.07
Lycodes,concolor,57.25,-165.25,7516:475:1,0.13
Lycodes,concolor,57.25,-165.75,7516:475:2,0.19
Lycodes,concolor,57.75,-165.25,7516:475:3,0.05
Lycodes,concolor,57.75,-165.75,7516:475:4,0.05
Lycodes,concolor,57.25,-166.25,7516:476:1,0.19
Lycodes,concolor,57.25,-166.75,7516:476:2,0.15
Lycodes,concolor,57.75,-166.25,7516:476:3,0.07
Lycodes,concolor,57.75,-166.75,7516:476:4,0.09
Lycodes,concolor,57.75,-167.25,7516:477:3,0.11
Lycodes,concolor,57.75,-167.75,7516:477:4,0.17
Lycodes,concolor,58.25,-166.25,7516:486:1,0.02
Lycodes,concolor,58.25,-166.75,7516:486:2,0.05
Lycodes,concolor,58.25,-167.25,7516:487:1,0.04
Lycodes,concolor,58.25,-167.75,7516:487:2,0.06
Lycodes,concolor,58.75,-167.25,7516:487:3,0.01
Lycodes,concolor,58.75,-167.75,7516:487:4,0.02
Lycodes,concolor,58.25,-168.25,7516:488:1,0.1
Lycodes,concolor,58.25,-168.75,7516:488:2,0.15
Lycodes,concolor,58.75,-168.25,7516:488:3,0.04
Lycodes,concolor,58.75,-168.75,7516:488:4,0.05
Lycodes,concolor,58.25,-169.25,7516:489:1,0.18
Lycodes,concolor,58.75,-169.25,7516:489:3,0.09
