Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodichthys,dearborni,-74.75,161.75,3716:141:4,0.03
Lycodichthys,dearborni,-74.75,162.25,3716:142:3,0.1
Lycodichthys,dearborni,-74.75,162.75,3716:142:4,0.13
Lycodichthys,dearborni,-72.75,169.75,3716:229:4,0.1
Lycodichthys,dearborni,-73.75,167.75,3716:237:4,0.09
Lycodichthys,dearborni,-73.75,168.25,3716:238:3,0.11
Lycodichthys,dearborni,-74.75,165.25,3716:245:3,0.06
Lycodichthys,dearborni,-75.25,162.25,3716:352:1,0.05
Lycodichthys,dearborni,-75.25,162.75,3716:352:2,0.12
Lycodichthys,dearborni,-75.75,162.25,3716:352:3,0.01
Lycodichthys,dearborni,-75.75,162.75,3716:352:4,0.07
Lycodichthys,dearborni,-77.25,166.25,3716:476:1,0.02
Lycodichthys,dearborni,-77.25,166.75,3716:476:2,0.02
Lycodichthys,dearborni,-77.25,167.25,3716:477:1,0.02
Lycodichthys,dearborni,-77.25,167.75,3716:477:2,0.03
Lycodichthys,dearborni,-77.25,168.25,3716:478:1,0.05
Lycodichthys,dearborni,-76.75,177.75,3717:467:4,0.17
Lycodichthys,dearborni,-72.25,-92.75,5709:122:2,0.03
Lycodichthys,dearborni,-72.25,-93.25,5709:123:1,0.04
Lycodichthys,dearborni,-72.25,-93.75,5709:123:2,0.09
Lycodichthys,dearborni,-73.25,-110.25,5711:130:1,0.03
Lycodichthys,dearborni,-73.25,-110.75,5711:130:2,0.04
Lycodichthys,dearborni,-73.75,-111.25,5711:131:3,0.03
Lycodichthys,dearborni,-73.25,-116.75,5711:236:2,0.08
Lycodichthys,dearborni,-73.25,-117.25,5711:237:1,0.1
Lycodichthys,dearborni,-73.25,-117.75,5711:237:2,0.15
Lycodichthys,dearborni,-73.25,-118.25,5711:238:1,0.09
Lycodichthys,dearborni,-73.25,-118.75,5711:238:2,0.1
Lycodichthys,dearborni,-73.25,-119.25,5711:239:1,0.18
Lycodichthys,dearborni,-73.25,-121.25,5712:131:1,0.17
Lycodichthys,dearborni,-73.25,-121.75,5712:131:2,0.17
Lycodichthys,dearborni,-73.25,-122.25,5712:132:1,0.17
Lycodichthys,dearborni,-73.25,-122.75,5712:132:2,0.13
Lycodichthys,dearborni,-73.25,-123.25,5712:133:1,0.14
Lycodichthys,dearborni,-73.25,-123.75,5712:133:2,0.14
Lycodichthys,dearborni,-73.25,-124.25,5712:134:1,0.18
Lycodichthys,dearborni,-72.75,-125.25,5712:225:3,0.02
Lycodichthys,dearborni,-72.75,-125.75,5712:225:4,0.02
Lycodichthys,dearborni,-72.75,-126.25,5712:226:3,0.01
Lycodichthys,dearborni,-72.75,-126.75,5712:226:4,0.01
Lycodichthys,dearborni,-73.25,-125.25,5712:235:1,0.11
Lycodichthys,dearborni,-73.25,-130.25,5713:130:1,0.18
Lycodichthys,dearborni,-73.75,-138.75,5713:238:4,0.09
Lycodichthys,dearborni,-73.75,-139.25,5713:239:3,0.09
Lycodichthys,dearborni,-73.75,-139.75,5713:239:4,0.06
Lycodichthys,dearborni,-74.25,-136.25,5713:246:1,0.12
Lycodichthys,dearborni,-74.25,-136.75,5713:246:2,0.15
Lycodichthys,dearborni,-74.75,-136.75,5713:246:4,0.17
Lycodichthys,dearborni,-74.25,-137.75,5713:247:2,0.16
Lycodichthys,dearborni,-74.25,-138.25,5713:248:1,0.13
Lycodichthys,dearborni,-74.25,-138.75,5713:248:2,0.06
Lycodichthys,dearborni,-74.25,-139.25,5713:249:1,0.03
Lycodichthys,dearborni,-74.75,-139.75,5713:249:4,0.15
Lycodichthys,dearborni,-73.75,-140.75,5714:130:4,0.03
Lycodichthys,dearborni,-74.75,-140.25,5714:140:3,0.19
Lycodichthys,dearborni,-74.75,-140.75,5714:140:4,0.08
Lycodichthys,dearborni,-75.75,-147.25,5714:457:3,0.07
Lycodichthys,dearborni,-75.75,-147.75,5714:457:4,0.05
Lycodichthys,dearborni,-75.75,-148.25,5714:458:3,0.07
Lycodichthys,dearborni,-75.75,-148.75,5714:458:4,0.03
Lycodichthys,dearborni,-75.25,-149.75,5714:459:2,0.05
Lycodichthys,dearborni,-75.75,-149.25,5714:459:3,0.02
Lycodichthys,dearborni,-75.75,-149.75,5714:459:4,0.02
Lycodichthys,dearborni,-75.25,-150.25,5715:350:1,0.05
Lycodichthys,dearborni,-75.25,-150.75,5715:350:2,0.04
Lycodichthys,dearborni,-75.75,-150.25,5715:350:3,0.02
Lycodichthys,dearborni,-75.75,-150.75,5715:350:4,0.04
Lycodichthys,dearborni,-75.25,-151.25,5715:351:1,0.03
Lycodichthys,dearborni,-75.25,-151.75,5715:351:2,0.01
Lycodichthys,dearborni,-75.75,-151.25,5715:351:3,0.02
Lycodichthys,dearborni,-75.75,-151.75,5715:351:4,0.06
Lycodichthys,dearborni,-75.75,-152.25,5715:352:3,0.09
Lycodichthys,dearborni,-75.75,-152.75,5715:352:4,0.12
Lycodichthys,dearborni,-75.75,-153.25,5715:353:3,0.12
Lycodichthys,dearborni,-75.75,-153.75,5715:353:4,0.12
Lycodichthys,dearborni,-75.75,-154.25,5715:354:3,0.1
Lycodichthys,dearborni,-75.75,-154.75,5715:354:4,0.09
Lycodichthys,dearborni,-76.25,-151.25,5715:361:1,0.04
Lycodichthys,dearborni,-76.25,-151.75,5715:361:2,0.04
Lycodichthys,dearborni,-76.75,-151.25,5715:361:3,0.16
Lycodichthys,dearborni,-76.25,-152.25,5715:362:1,0.08
Lycodichthys,dearborni,-76.25,-152.75,5715:362:2,0.11
Lycodichthys,dearborni,-76.25,-153.25,5715:363:1,0.09
Lycodichthys,dearborni,-76.25,-153.75,5715:363:2,0.1
Lycodichthys,dearborni,-76.25,-154.25,5715:364:1,0.16
Lycodichthys,dearborni,-77.25,-151.75,5715:371:2,0.19
Lycodichthys,dearborni,-77.25,-152.25,5715:372:1,0.17
Lycodichthys,dearborni,-77.25,-152.75,5715:372:2,0.1
Lycodichthys,dearborni,-77.25,-153.25,5715:373:1,0.01
Lycodichthys,dearborni,-77.25,-153.75,5715:373:2,0.07
Lycodichthys,dearborni,-75.75,-155.25,5715:455:3,0.09
Lycodichthys,dearborni,-75.75,-155.75,5715:455:4,0.09
Lycodichthys,dearborni,-75.75,-156.25,5715:456:3,0.09
Lycodichthys,dearborni,-75.75,-156.75,5715:456:4,0.1
Lycodichthys,dearborni,-76.25,-156.25,5715:466:1,0.19
Lycodichthys,dearborni,-76.25,-158.75,5715:468:2,0.17
Lycodichthys,dearborni,-76.25,-159.25,5715:469:1,0.17
Lycodichthys,dearborni,-76.25,-159.75,5715:469:2,0.18
Lycodichthys,dearborni,-76.25,-160.25,5716:360:1,0.17
Lycodichthys,dearborni,-76.25,-160.75,5716:360:2,0.19
Lycodichthys,dearborni,-76.25,-161.25,5716:361:1,0.17
Lycodichthys,dearborni,-76.25,-161.75,5716:361:2,0.14
Lycodichthys,dearborni,-76.25,-162.25,5716:362:1,0.13
Lycodichthys,dearborni,-76.25,-162.75,5716:362:2,0.15
Lycodichthys,dearborni,-75.75,-168.75,5716:458:4,0.15
Lycodichthys,dearborni,-75.75,-169.25,5716:459:3,0.14
Lycodichthys,dearborni,-77.25,-169.75,5716:479:2,0.16
Lycodichthys,dearborni,-77.75,-169.75,5716:479:4,0.03
Lycodichthys,dearborni,-75.75,-170.25,5717:350:3,0.17
Lycodichthys,dearborni,-75.75,-172.75,5717:352:4,0.18
Lycodichthys,dearborni,-73.75,168.75,3716:238:4,0.27
