Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Leptoclinus,maculatus,49.25,0.25,1400:390:1,0.11
Leptoclinus,maculatus,49.75,0.25,1400:390:3,0.09
Leptoclinus,maculatus,49.75,0.75,1400:390:4,0.13
Leptoclinus,maculatus,49.75,1.25,1400:391:3,0.13
Leptoclinus,maculatus,43.75,136.25,1413:236:3,0.08
Leptoclinus,maculatus,43.75,139.75,1413:239:4,0.02
Leptoclinus,maculatus,44.25,139.75,1413:249:2,0.16
Leptoclinus,maculatus,45.25,139.75,1413:459:2,0.09
Leptoclinus,maculatus,43.75,144.25,1414:134:3,0.13
Leptoclinus,maculatus,45.75,144.25,1414:354:3,0.07
Leptoclinus,maculatus,46.25,140.75,1414:360:2,0.01
Leptoclinus,maculatus,48.25,145.75,1414:485:2,0.08
Leptoclinus,maculatus,48.75,145.75,1414:485:4,0.05
Leptoclinus,maculatus,49.25,146.25,1414:496:1,0.16
Leptoclinus,maculatus,49.75,146.25,1414:496:3,0.04
Leptoclinus,maculatus,48.75,155.75,1415:485:4,0.07
Leptoclinus,maculatus,50.25,0.25,1500:100:1,0.12
Leptoclinus,maculatus,50.25,0.75,1500:100:2,0.16
Leptoclinus,maculatus,50.75,0.25,1500:100:3,0.19
Leptoclinus,maculatus,50.25,1.25,1500:101:1,0.16
Leptoclinus,maculatus,50.25,1.75,1500:101:2,0.15
Leptoclinus,maculatus,50.75,1.25,1500:101:3,0.17
Leptoclinus,maculatus,50.75,1.75,1500:101:4,0.18
Leptoclinus,maculatus,51.25,0.75,1500:110:2,0.12
Leptoclinus,maculatus,51.25,1.25,1500:111:1,0.19
Leptoclinus,maculatus,51.25,1.75,1500:111:2,0.14
Leptoclinus,maculatus,51.75,1.75,1500:111:4,0.1
Leptoclinus,maculatus,51.25,2.25,1500:112:1,0.13
Leptoclinus,maculatus,51.25,2.75,1500:112:2,0.16
Leptoclinus,maculatus,51.75,2.25,1500:112:3,0.12
Leptoclinus,maculatus,51.75,2.75,1500:112:4,0.15
Leptoclinus,maculatus,51.25,3.25,1500:113:1,0.11
Leptoclinus,maculatus,51.25,3.75,1500:113:2,0.12
Leptoclinus,maculatus,51.75,3.25,1500:113:3,0.13
Leptoclinus,maculatus,51.75,3.75,1500:113:4,0.11
Leptoclinus,maculatus,51.25,4.25,1500:114:1,0.08
Leptoclinus,maculatus,51.75,4.25,1500:114:3,0.05
Leptoclinus,maculatus,51.75,4.75,1500:114:4,0.01
Leptoclinus,maculatus,52.75,0.75,1500:120:4,0.11
Leptoclinus,maculatus,52.25,1.25,1500:121:1,0.19
Leptoclinus,maculatus,52.75,1.25,1500:121:3,0.1
Leptoclinus,maculatus,52.25,2.25,1500:122:1,0.15
Leptoclinus,maculatus,52.25,2.75,1500:122:2,0.15
Leptoclinus,maculatus,52.75,2.25,1500:122:3,0.15
Leptoclinus,maculatus,52.75,2.75,1500:122:4,0.16
Leptoclinus,maculatus,52.25,3.25,1500:123:1,0.15
Leptoclinus,maculatus,52.25,3.75,1500:123:2,0.11
Leptoclinus,maculatus,52.75,3.25,1500:123:3,0.13
Leptoclinus,maculatus,52.75,3.75,1500:123:4,0.12
Leptoclinus,maculatus,52.25,4.25,1500:124:1,0.01
Leptoclinus,maculatus,52.25,4.75,1500:124:2,0.05
Leptoclinus,maculatus,52.75,4.25,1500:124:3,0.15
Leptoclinus,maculatus,52.75,4.75,1500:124:4,0.14
