Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,pacificus,14.75,-93.75,7109:143:4,0.02
Lycodes,pacificus,14.75,-94.25,7109:144:3,0.05
Lycodes,pacificus,15.25,-93.75,7109:353:2,0.01
Lycodes,pacificus,15.25,-94.25,7109:354:1,0.05
Lycodes,pacificus,15.25,-94.75,7109:354:2,0.08
Lycodes,pacificus,15.75,-93.25,7109:353:3,0.01
Lycodes,pacificus,15.75,-94.25,7109:354:3,0.03
Lycodes,pacificus,15.75,-94.75,7109:354:4,0.07
Lycodes,pacificus,15.75,-95.25,7109:455:3,0.08
Lycodes,pacificus,15.75,-95.75,7109:455:4,0.06
Lycodes,pacificus,15.75,-96.25,7109:456:3,0.04
Lycodes,pacificus,15.75,-96.75,7109:456:4,0.02
Lycodes,pacificus,15.75,-97.25,7109:457:3,0.02
Lycodes,pacificus,15.75,-97.75,7109:457:4,0.01
Lycodes,pacificus,16.25,-94.25,7109:364:1,0.04
Lycodes,pacificus,16.25,-94.75,7109:364:2,0.06
Lycodes,pacificus,16.25,-95.25,7109:465:1,0.06
Lycodes,pacificus,16.25,-97.75,7109:467:2,0.03
Lycodes,pacificus,16.25,-98.25,7109:468:1,0.02
Lycodes,pacificus,16.25,-98.75,7109:468:2,0.02
Lycodes,pacificus,16.75,-98.75,7109:468:4,0.03
Lycodes,pacificus,16.75,-99.25,7109:469:3,0.03
Lycodes,pacificus,16.75,-99.75,7109:469:4,0.03
Lycodes,pacificus,16.75,-100.25,7110:360:3,0.02
Lycodes,pacificus,17.25,-100.25,7110:370:1,0.04
Lycodes,pacificus,17.25,-100.75,7110:370:2,0.04
Lycodes,pacificus,17.25,-101.25,7110:371:1,0.03
Lycodes,pacificus,17.75,-101.25,7110:371:3,0.05
Lycodes,pacificus,17.75,-101.75,7110:371:4,0.05
Lycodes,pacificus,17.75,-102.25,7110:372:3,0.05
Lycodes,pacificus,17.75,-102.75,7110:372:4,0.05
Lycodes,pacificus,18.25,-102.25,7110:382:1,0.06
Lycodes,pacificus,18.25,-102.75,7110:382:2,0.07
Lycodes,pacificus,18.25,-103.25,7110:383:1,0.05
Lycodes,pacificus,18.25,-103.75,7110:383:2,0.05
Lycodes,pacificus,18.75,-103.75,7110:383:4,0.08
Lycodes,pacificus,18.75,-104.25,7110:384:3,0.08
Lycodes,pacificus,19.25,-104.25,7110:394:1,0.1
Lycodes,pacificus,19.25,-104.75,7110:394:2,0.06
Lycodes,pacificus,19.25,-105.25,7110:495:1,0.04
Lycodes,pacificus,19.75,-105.25,7110:495:3,0.08
Lycodes,pacificus,19.75,-105.75,7110:495:4,0.05
Lycodes,pacificus,20.25,-105.25,7210:205:1,0.08
Lycodes,pacificus,20.25,-105.75,7210:205:2,0.06
Lycodes,pacificus,20.75,-105.25,7210:205:3,0.13
Lycodes,pacificus,20.75,-105.75,7210:205:4,0.1
Lycodes,pacificus,20.75,-106.25,7210:206:3,0.02
Lycodes,pacificus,21.25,-105.25,7210:215:1,0.12
Lycodes,pacificus,21.25,-105.75,7210:215:2,0.12
Lycodes,pacificus,21.25,-106.25,7210:216:1,0.03
Lycodes,pacificus,21.75,-105.25,7210:215:3,0.14
Lycodes,pacificus,21.75,-105.75,7210:215:4,0.13
Lycodes,pacificus,21.75,-106.25,7210:216:3,0.08
Lycodes,pacificus,21.75,-106.75,7210:216:4,0.01
Lycodes,pacificus,22.25,-105.75,7210:225:2,0.15
Lycodes,pacificus,22.25,-106.25,7210:226:1,0.08
Lycodes,pacificus,22.25,-106.75,7210:226:2,0.01
Lycodes,pacificus,22.75,-105.75,7210:225:4,0.17
Lycodes,pacificus,22.75,-106.25,7210:226:3,0.09
Lycodes,pacificus,22.75,-106.75,7210:226:4,0.01
Lycodes,pacificus,23.25,-106.25,7210:236:1,0.18
Lycodes,pacificus,23.25,-106.75,7210:236:2,0.04
Lycodes,pacificus,23.75,-106.75,7210:236:4,0.15
Lycodes,pacificus,23.75,-107.25,7210:237:3,0.08
Lycodes,pacificus,23.75,-107.75,7210:237:4,0.01
Lycodes,pacificus,24.25,-107.25,7210:247:1,0.12
Lycodes,pacificus,24.25,-107.75,7210:247:2,0.09
Lycodes,pacificus,24.25,-108.25,7210:248:1,0.02
Lycodes,pacificus,24.75,-107.75,7210:247:4,0.1
Lycodes,pacificus,24.75,-108.25,7210:248:3,0.09
Lycodes,pacificus,24.75,-108.75,7210:248:4,0.01
Lycodes,pacificus,24.75,-111.75,7211:141:4,0.02
Lycodes,pacificus,24.75,-112.25,7211:142:3,0.05
Lycodes,pacificus,25.25,-108.25,7210:458:1,0.08
Lycodes,pacificus,25.25,-108.75,7210:458:2,0.08
Lycodes,pacificus,25.25,-109.25,7210:459:1,0.02
Lycodes,pacificus,25.25,-112.25,7211:352:1,0.12
Lycodes,pacificus,25.25,-112.75,7211:352:2,0.02
Lycodes,pacificus,25.75,-109.25,7210:459:3,0.04
