Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Melanostigma,gelatinosum,-78.25,-177.25,5717:487:1,0.02
Melanostigma,gelatinosum,-78.25,-163.25,5716:383:1,0.02
Melanostigma,gelatinosum,-78.25,-176.75,5717:486:2,0.02
Melanostigma,gelatinosum,-78.25,-163.75,5716:383:2,0.02
Melanostigma,gelatinosum,-78.25,-176.25,5717:486:1,0.02
Melanostigma,gelatinosum,-78.25,-175.75,5717:485:2,0.02
Melanostigma,gelatinosum,-78.25,-164.25,5716:384:1,0.02
Melanostigma,gelatinosum,-78.25,-175.25,5717:485:1,0.02
Melanostigma,gelatinosum,-78.25,-174.75,5717:384:2,0.02
Melanostigma,gelatinosum,-78.25,-174.25,5717:384:1,0.03
Melanostigma,gelatinosum,-78.25,-173.75,5717:383:2,0.03
Melanostigma,gelatinosum,-78.25,-173.25,5717:383:1,0.03
Melanostigma,gelatinosum,-78.25,-172.75,5717:382:2,0.03
Melanostigma,gelatinosum,-78.25,-172.25,5717:382:1,0.03
Melanostigma,gelatinosum,-78.25,-171.75,5717:381:2,0.03
Melanostigma,gelatinosum,-78.25,-171.25,5717:381:1,0.03
Melanostigma,gelatinosum,-78.25,-170.75,5717:380:2,0.03
Melanostigma,gelatinosum,-78.25,-170.25,5717:380:1,0.03
Melanostigma,gelatinosum,-78.25,-169.75,5716:489:2,0.03
Melanostigma,gelatinosum,-78.25,-169.25,5716:489:1,0.03
Melanostigma,gelatinosum,-78.25,-168.75,5716:488:2,0.03
Melanostigma,gelatinosum,-78.25,-168.25,5716:488:1,0.02
Melanostigma,gelatinosum,-78.25,-167.75,5716:487:2,0.02
Melanostigma,gelatinosum,-78.25,-167.25,5716:487:1,0.02
Melanostigma,gelatinosum,-78.25,-166.75,5716:486:2,0.02
Melanostigma,gelatinosum,-78.25,-166.25,5716:486:1,0.02
Melanostigma,gelatinosum,-78.25,-165.75,5716:485:2,0.02
Melanostigma,gelatinosum,-78.25,-165.25,5716:485:1,0.02
Melanostigma,gelatinosum,-78.25,-164.75,5716:384:2,0.02
Melanostigma,gelatinosum,-77.75,-179.75,5717:479:4,0.03
Melanostigma,gelatinosum,-77.75,-179.25,5717:479:3,0.03
Melanostigma,gelatinosum,-77.25,-179.75,5717:479:2,0.04
Melanostigma,gelatinosum,-77.25,-179.25,5717:479:1,0.04
Melanostigma,gelatinosum,-77.75,-178.75,5717:478:4,0.03
Melanostigma,gelatinosum,-77.75,-178.25,5717:478:3,0.03
Melanostigma,gelatinosum,-77.25,-178.75,5717:478:2,0.04
Melanostigma,gelatinosum,-77.25,-178.25,5717:478:1,0.04
Melanostigma,gelatinosum,-77.75,-177.75,5717:477:4,0.03
Melanostigma,gelatinosum,-77.75,-177.25,5717:477:3,0.03
Melanostigma,gelatinosum,-77.25,-177.75,5717:477:2,0.04
Melanostigma,gelatinosum,-77.25,-177.25,5717:477:1,0.04
Melanostigma,gelatinosum,-77.75,-176.75,5717:476:4,0.03
Melanostigma,gelatinosum,-77.75,-176.25,5717:476:3,0.03
Melanostigma,gelatinosum,-77.25,-176.75,5717:476:2,0.04
Melanostigma,gelatinosum,-77.25,-176.25,5717:476:1,0.04
Melanostigma,gelatinosum,-77.75,-175.75,5717:475:4,0.03
Melanostigma,gelatinosum,-77.75,-175.25,5717:475:3,0.03
Melanostigma,gelatinosum,-77.25,-175.75,5717:475:2,0.03
Melanostigma,gelatinosum,-77.25,-175.25,5717:475:1,0.03
Melanostigma,gelatinosum,-76.75,-179.75,5717:469:4,0.03
Melanostigma,gelatinosum,-76.75,-179.25,5717:469:3,0.02
Melanostigma,gelatinosum,-76.25,-179.75,5717:469:2,0.02
Melanostigma,gelatinosum,-76.25,-179.25,5717:469:1,0.02
Melanostigma,gelatinosum,-76.75,-178.75,5717:468:4,0.02
Melanostigma,gelatinosum,-76.75,-178.25,5717:468:3,0.02
Melanostigma,gelatinosum,-76.25,-178.75,5717:468:2,0.02
Melanostigma,gelatinosum,-76.25,-178.25,5717:468:1,0.01
Melanostigma,gelatinosum,-76.75,-177.75,5717:467:4,0.02
Melanostigma,gelatinosum,-76.75,-177.25,5717:467:3,0.02
Melanostigma,gelatinosum,-76.25,-177.75,5717:467:2,0.01
Melanostigma,gelatinosum,-76.25,-177.25,5717:467:1,0.01
Melanostigma,gelatinosum,-76.75,-176.75,5717:466:4,0.02
Melanostigma,gelatinosum,-76.75,-176.25,5717:466:3,0.02
Melanostigma,gelatinosum,-76.25,-176.75,5717:466:2,0.01
Melanostigma,gelatinosum,-76.25,-176.25,5717:466:1,0.01
Melanostigma,gelatinosum,-76.75,-175.75,5717:465:4,0.01
Melanostigma,gelatinosum,-76.75,-175.25,5717:465:3,0.01
Melanostigma,gelatinosum,-76.25,-175.75,5717:465:2,0.01
Melanostigma,gelatinosum,-76.25,-175.25,5717:465:1,0.01
Melanostigma,gelatinosum,-75.75,-179.75,5717:459:4,0.01
Melanostigma,gelatinosum,-75.75,-179.25,5717:459:3,0.01
Melanostigma,gelatinosum,-75.25,-179.75,5717:459:2,0.01
Melanostigma,gelatinosum,-75.25,-179.25,5717:459:1,0.01
Melanostigma,gelatinosum,-75.75,-178.75,5717:458:4,0.01
Melanostigma,gelatinosum,-75.75,-178.25,5717:458:3,0.01
Melanostigma,gelatinosum,-75.25,-178.75,5717:458:2,0.01
Melanostigma,gelatinosum,-75.25,-178.25,5717:458:1,0.01
Melanostigma,gelatinosum,-75.75,-177.75,5717:457:4,0.01
Melanostigma,gelatinosum,-75.75,-177.25,5717:457:3,0.01
Melanostigma,gelatinosum,-75.25,-177.75,5717:457:2,0.01
Melanostigma,gelatinosum,-75.25,-177.25,5717:457:1,0.01
Melanostigma,gelatinosum,-75.75,-176.75,5717:456:4,0.01
Melanostigma,gelatinosum,-75.75,-176.25,5717:456:3,0.01
Melanostigma,gelatinosum,-75.25,-176.75,5717:456:2,0.01
Melanostigma,gelatinosum,-75.25,-176.25,5717:456:1,0.01
Melanostigma,gelatinosum,-75.75,-175.75,5717:455:4,0.01
Melanostigma,gelatinosum,-75.75,-175.25,5717:455:3,0.01
Melanostigma,gelatinosum,-77.75,-174.75,5717:374:4,0.03
Melanostigma,gelatinosum,-77.75,-174.25,5717:374:3,0.03
Melanostigma,gelatinosum,-77.25,-174.75,5717:374:2,0.03
Melanostigma,gelatinosum,-77.25,-174.25,5717:374:1,0.03
Melanostigma,gelatinosum,-77.75,-173.75,5717:373:4,0.03
Melanostigma,gelatinosum,-77.75,-173.25,5717:373:3,0.03
Melanostigma,gelatinosum,-77.25,-173.75,5717:373:2,0.03
Melanostigma,gelatinosum,-77.25,-173.25,5717:373:1,0.03
Melanostigma,gelatinosum,-77.75,-172.75,5717:372:4,0.03
Melanostigma,gelatinosum,-77.75,-172.25,5717:372:3,0.03
Melanostigma,gelatinosum,-77.25,-172.75,5717:372:2,0.03
Melanostigma,gelatinosum,-77.25,-172.25,5717:372:1,0.03
Melanostigma,gelatinosum,-77.75,-171.75,5717:371:4,0.03
Melanostigma,gelatinosum,-77.75,-171.25,5717:371:3,0.03
Melanostigma,gelatinosum,-77.25,-171.75,5717:371:2,0.03
Melanostigma,gelatinosum,-77.25,-171.25,5717:371:1,0.03
Melanostigma,gelatinosum,-77.75,-170.75,5717:370:4,0.03
Melanostigma,gelatinosum,-77.75,-170.25,5717:370:3,0.03
Melanostigma,gelatinosum,-77.25,-170.75,5717:370:2,0.03
Melanostigma,gelatinosum,-77.25,-170.25,5717:370:1,0.03
Melanostigma,gelatinosum,-76.75,-174.75,5717:364:4,0.01
Melanostigma,gelatinosum,-76.75,-174.25,5717:364:3,0.01
Melanostigma,gelatinosum,-76.25,-174.75,5717:364:2,0.01
Melanostigma,gelatinosum,-76.25,-174.25,5717:364:1,0.01
Melanostigma,gelatinosum,-76.75,-173.75,5717:363:4,0.01
Melanostigma,gelatinosum,-76.75,-173.25,5717:363:3,0.01
Melanostigma,gelatinosum,-76.25,-173.75,5717:363:2,0.01
