Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Melanostigma,pammelas,53.75,-133.25,7513:133:3,0.04
Melanostigma,pammelas,50.75,-128.75,7512:208:4,0.01
Melanostigma,pammelas,45.75,-133.25,7413:353:3,0.19
Melanostigma,pammelas,45.25,-133.75,7413:353:2,0.13
Melanostigma,pammelas,45.25,-133.25,7413:353:1,0.12
Melanostigma,pammelas,45.75,-132.75,7413:352:4,0.18
Melanostigma,pammelas,45.75,-132.25,7413:352:3,0.19
Melanostigma,pammelas,45.25,-132.75,7413:352:2,0.11
Melanostigma,pammelas,45.25,-132.25,7413:352:1,0.12
Melanostigma,pammelas,45.25,-131.75,7413:351:2,0.14
Melanostigma,pammelas,45.25,-131.25,7413:351:1,0.16
Melanostigma,pammelas,45.25,-130.75,7413:350:2,0.11
Melanostigma,pammelas,45.25,-130.25,7413:350:1,0.15
Melanostigma,pammelas,44.75,-133.75,7413:143:4,0.09
Melanostigma,pammelas,44.75,-133.25,7413:143:3,0.07
Melanostigma,pammelas,44.25,-133.75,7413:143:2,0.07
Melanostigma,pammelas,44.25,-133.25,7413:143:1,0.04
Melanostigma,pammelas,44.75,-132.75,7413:142:4,0.06
Melanostigma,pammelas,44.75,-132.25,7413:142:3,0.05
Melanostigma,pammelas,44.25,-132.75,7413:142:2,0.02
Melanostigma,pammelas,44.25,-132.25,7413:142:1,0.02
Melanostigma,pammelas,44.75,-131.75,7413:141:4,0.05
Melanostigma,pammelas,44.75,-131.25,7413:141:3,0.06
Melanostigma,pammelas,44.25,-131.75,7413:141:2,0.04
Melanostigma,pammelas,44.25,-131.25,7413:141:1,0.04
Melanostigma,pammelas,44.75,-130.75,7413:140:4,0.07
Melanostigma,pammelas,44.75,-130.25,7413:140:3,0.06
Melanostigma,pammelas,44.25,-130.75,7413:140:2,0.12
Melanostigma,pammelas,44.25,-130.25,7413:140:1,0.17
Melanostigma,pammelas,43.75,-133.75,7413:133:4,0.06
Melanostigma,pammelas,43.75,-133.25,7413:133:3,0.05
Melanostigma,pammelas,43.25,-133.75,7413:133:2,0.01
Melanostigma,pammelas,43.25,-133.25,7413:133:1,0.01
Melanostigma,pammelas,43.75,-132.75,7413:132:4,0.02
Melanostigma,pammelas,43.75,-132.25,7413:132:3,0.02
Melanostigma,pammelas,43.75,-131.75,7413:131:4,0.03
Melanostigma,pammelas,43.75,-131.25,7413:131:3,0.05
Melanostigma,pammelas,43.75,-130.75,7413:130:4,0.07
Melanostigma,pammelas,43.75,-130.25,7413:130:3,0.08
Melanostigma,pammelas,43.25,-130.75,7413:130:2,0.02
Melanostigma,pammelas,43.25,-130.25,7413:130:1,0.09
Melanostigma,pammelas,42.75,-130.25,7413:120:3,0.05
Melanostigma,pammelas,49.75,-127.25,7412:497:3,0.12
Melanostigma,pammelas,47.75,-124.75,7412:374:4,0.19
Melanostigma,pammelas,43.75,-129.75,7412:239:4,0.12
Melanostigma,pammelas,43.75,-129.25,7412:239:3,0.19
Melanostigma,pammelas,43.25,-129.75,7412:239:2,0.07
Melanostigma,pammelas,43.25,-129.25,7412:239:1,0.14
Melanostigma,pammelas,43.75,-128.75,7412:238:4,0.19
Melanostigma,pammelas,42.75,-129.75,7412:229:4,0.18
Melanostigma,pammelas,42.25,-129.25,7412:229:1,0.04
Melanostigma,pammelas,42.25,-128.75,7412:228:2,0.19
Melanostigma,pammelas,41.75,-129.25,7412:219:3,0.05
Melanostigma,pammelas,41.75,-128.75,7412:218:4,0.1
Melanostigma,pammelas,41.25,-128.75,7412:218:2,0.03
Melanostigma,pammelas,40.75,-128.75,7412:208:4,0.12
Melanostigma,pammelas,40.25,-128.75,7412:208:2,0.1
Melanostigma,pammelas,39.75,-129.25,7312:499:3,0.03
Melanostigma,pammelas,39.25,-129.25,7312:499:1,0.05
Melanostigma,pammelas,39.75,-128.75,7312:498:4,0.19
