Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Zoarces,viviparus,50.25,0.75,1500:100:2,0.01
Zoarces,viviparus,50.75,0.75,1500:100:4,0.19
Zoarces,viviparus,50.25,1.25,1500:101:1,0.04
Zoarces,viviparus,50.75,1.25,1500:101:3,0.19
Zoarces,viviparus,50.75,1.75,1500:101:4,0.17
Zoarces,viviparus,51.25,3.75,1500:113:2,0.17
Zoarces,viviparus,51.75,3.75,1500:113:4,0.14
Zoarces,viviparus,51.25,4.25,1500:114:1,0.11
Zoarces,viviparus,51.75,4.75,1500:114:4,0.03
Zoarces,viviparus,52.25,4.75,1500:124:2,0.03
Zoarces,viviparus,54.75,0.75,1500:140:4,0.05
Zoarces,viviparus,54.75,3.75,1500:143:4,0.17
Zoarces,viviparus,52.25,5.25,1500:225:1,0.01
Zoarces,viviparus,52.25,5.75,1500:225:2,0.16
Zoarces,viviparus,53.25,8.75,1500:238:2,0.09
Zoarces,viviparus,53.75,9.75,1500:239:4,0.18
Zoarces,viviparus,54.75,5.25,1500:245:3,0.1
Zoarces,viviparus,54.75,5.75,1500:245:4,0.1
Zoarces,viviparus,54.75,6.25,1500:246:3,0.1
Zoarces,viviparus,54.25,8.75,1500:248:2,0.12
Zoarces,viviparus,55.75,2.75,1500:352:4,0.1
Zoarces,viviparus,55.75,3.25,1500:353:3,0.19
Zoarces,viviparus,55.25,4.75,1500:354:2,0.09
Zoarces,viviparus,55.75,4.75,1500:354:4,0.11
Zoarces,viviparus,57.25,4.75,1500:374:2,0.15
Zoarces,viviparus,55.25,5.25,1500:455:1,0.1
Zoarces,viviparus,55.25,5.75,1500:455:2,0.1
Zoarces,viviparus,55.75,5.25,1500:455:3,0.09
Zoarces,viviparus,55.25,6.25,1500:456:1,0.1
Zoarces,viviparus,56.25,5.75,1500:465:2,0.05
Zoarces,viviparus,54.75,15.25,1501:245:3,0.14
Zoarces,viviparus,55.75,16.25,1501:456:3,0.03
Zoarces,viviparus,55.75,16.75,1501:456:4,0.04
Zoarces,viviparus,57.75,19.75,1501:479:4,0.13
Zoarces,viviparus,58.25,17.75,1501:487:2,0.12
Zoarces,viviparus,58.25,18.25,1501:488:1,0.03
Zoarces,viviparus,58.25,19.75,1501:489:2,0.11
Zoarces,viviparus,56.25,20.25,1502:360:1,0.15
Zoarces,viviparus,57.75,20.75,1502:370:4,0.16
Zoarces,viviparus,58.25,20.75,1502:380:2,0.1
Zoarces,viviparus,59.25,21.75,1502:391:2,0.15
Zoarces,viviparus,59.25,27.25,1502:497:1,0.19
Zoarces,viviparus,59.25,27.75,1502:497:2,0.17
Zoarces,viviparus,59.75,27.75,1502:497:4,0.19
Zoarces,viviparus,59.25,28.25,1502:498:1,0.17
Zoarces,viviparus,59.75,28.25,1502:498:3,0.15
Zoarces,viviparus,59.75,28.75,1502:498:4,0.05
Zoarces,viviparus,69.25,13.75,1601:393:2,0.06
Zoarces,viviparus,64.25,22.75,1602:142:2,0.17
Zoarces,viviparus,64.75,22.25,1602:142:3,0.06
Zoarces,viviparus,64.25,23.25,1602:143:1,0.19
Zoarces,viviparus,64.75,23.25,1602:143:3,0.03
Zoarces,viviparus,64.75,23.75,1602:143:4,0.12
Zoarces,viviparus,64.75,24.25,1602:144:3,0.17
Zoarces,viviparus,64.75,24.75,1602:144:4,0.15
Zoarces,viviparus,60.75,26.75,1602:206:4,0.11
Zoarces,viviparus,60.25,27.25,1602:207:1,0.19
Zoarces,viviparus,60.25,27.75,1602:207:2,0.13
Zoarces,viviparus,60.75,27.25,1602:207:3,0.16
Zoarces,viviparus,60.75,27.75,1602:207:4,0.15
Zoarces,viviparus,60.25,28.25,1602:208:1,0.07
