Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Bathymaster,signatus,29.75,121.75,1212:391:4,0.03
Bathymaster,signatus,29.75,122.25,1212:392:3,0.03
Bathymaster,signatus,34.25,119.75,1311:249:2,0.08
Bathymaster,signatus,35.25,119.75,1311:459:2,0.17
Bathymaster,signatus,37.25,118.75,1311:478:2,0.01
Bathymaster,signatus,37.75,118.75,1311:478:4,0.02
Bathymaster,signatus,37.25,119.25,1311:479:1,0.17
Bathymaster,signatus,37.25,119.75,1311:479:2,0.11
Bathymaster,signatus,37.75,119.75,1311:479:4,0.08
Bathymaster,signatus,38.25,117.75,1311:487:2,0.08
Bathymaster,signatus,38.75,117.75,1311:487:4,0.06
Bathymaster,signatus,38.25,118.25,1311:488:1,0.04
Bathymaster,signatus,38.25,118.75,1311:488:2,0.16
Bathymaster,signatus,38.25,119.75,1311:489:2,0.05
Bathymaster,signatus,38.75,119.25,1311:489:3,0.08
Bathymaster,signatus,38.75,119.75,1311:489:4,0.05
Bathymaster,signatus,39.25,117.75,1311:497:2,0.11
Bathymaster,signatus,39.25,118.25,1311:498:1,0.19
Bathymaster,signatus,39.25,119.25,1311:499:1,0.13
Bathymaster,signatus,39.25,119.75,1311:499:2,0.04
Bathymaster,signatus,39.75,119.25,1311:499:3,0.08
Bathymaster,signatus,39.75,119.75,1311:499:4,0.05
Bathymaster,signatus,30.25,120.75,1312:100:2,0.01
Bathymaster,signatus,30.25,121.25,1312:101:1,0.01
Bathymaster,signatus,30.25,121.75,1312:101:2,0.02
Bathymaster,signatus,30.25,122.25,1312:102:1,0.05
Bathymaster,signatus,30.25,122.75,1312:102:2,0.01
Bathymaster,signatus,30.75,122.25,1312:102:3,0.01
Bathymaster,signatus,30.75,122.75,1312:102:4,0.03
Bathymaster,signatus,31.25,122.75,1312:112:2,0.03
Bathymaster,signatus,31.75,122.75,1312:112:4,0.05
Bathymaster,signatus,31.75,123.25,1312:113:3,0.06
Bathymaster,signatus,31.75,123.75,1312:113:4,0.07
Bathymaster,signatus,31.75,124.25,1312:114:3,0.07
Bathymaster,signatus,31.75,124.75,1312:114:4,0.06
Bathymaster,signatus,32.75,120.75,1312:120:4,0.03
Bathymaster,signatus,32.75,121.75,1312:121:4,0.1
Bathymaster,signatus,32.25,122.25,1312:122:1,0.04
Bathymaster,signatus,32.25,122.75,1312:122:2,0.11
Bathymaster,signatus,32.75,122.25,1312:122:3,0.12
Bathymaster,signatus,32.75,122.75,1312:122:4,0.16
Bathymaster,signatus,32.25,123.25,1312:123:1,0.12
Bathymaster,signatus,32.25,123.75,1312:123:2,0.12
Bathymaster,signatus,32.75,123.25,1312:123:3,0.15
Bathymaster,signatus,32.75,123.75,1312:123:4,0.14
Bathymaster,signatus,32.25,124.25,1312:124:1,0.11
Bathymaster,signatus,32.25,124.75,1312:124:2,0.08
Bathymaster,signatus,32.75,124.25,1312:124:3,0.11
Bathymaster,signatus,32.75,124.75,1312:124:4,0.07
Bathymaster,signatus,33.25,120.75,1312:130:2,0.14
Bathymaster,signatus,33.75,120.25,1312:130:3,0.03
Bathymaster,signatus,33.75,120.75,1312:130:4,0.16
Bathymaster,signatus,33.25,121.25,1312:131:1,0.11
Bathymaster,signatus,33.25,121.75,1312:131:2,0.14
Bathymaster,signatus,33.75,121.25,1312:131:3,0.13
Bathymaster,signatus,33.75,121.75,1312:131:4,0.13
Bathymaster,signatus,33.25,122.25,1312:132:1,0.19
Bathymaster,signatus,33.25,122.75,1312:132:2,0.19
Bathymaster,signatus,33.75,122.75,1312:132:4,0.19
Bathymaster,signatus,33.25,123.25,1312:133:1,0.16
Bathymaster,signatus,33.25,123.75,1312:133:2,0.13
Bathymaster,signatus,33.75,123.25,1312:133:3,0.15
Bathymaster,signatus,33.75,123.75,1312:133:4,0.13
