Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cebidichthys,violaceus,33.25,-119.75,7311:239:2,0.1
Cebidichthys,violaceus,33.25,-119.25,7311:239:1,0.15
Cebidichthys,violaceus,30.75,-115.75,7311:205:4,0.13
Cebidichthys,violaceus,28.25,-115.75,7211:485:2,0.14
Cebidichthys,violaceus,29.25,-114.75,7211:394:2,0.07
Cebidichthys,violaceus,28.75,-114.75,7211:384:4,0.18
Cebidichthys,violaceus,28.75,-114.25,7211:384:3,0.04
Cebidichthys,violaceus,28.25,-114.75,7211:384:2,0.13
Cebidichthys,violaceus,27.75,-114.25,7211:374:3,0.16
Cebidichthys,violaceus,27.25,-114.25,7211:374:1,0.13
Cebidichthys,violaceus,45.25,-123.75,7412:353:2,0.25
Cebidichthys,violaceus,37.75,-123.25,7312:373:3,0.22
Cebidichthys,violaceus,37.75,-122.25,7312:372:3,0.31
Cebidichthys,violaceus,33.25,-118.75,7311:238:2,0.31
Cebidichthys,violaceus,33.25,-117.25,7311:237:1,0.25
Cebidichthys,violaceus,32.75,-118.25,7311:228:3,0.2
Cebidichthys,violaceus,30.25,-115.75,7311:205:2,0.31
Cebidichthys,violaceus,29.75,-115.25,7211:495:3,0.2
Cebidichthys,violaceus,28.25,-115.25,7211:485:1,0.2
Cebidichthys,violaceus,27.75,-115.25,7211:475:3,0.23
Cebidichthys,violaceus,28.25,-114.25,7211:384:1,0.32
Cebidichthys,violaceus,27.75,-114.75,7211:374:4,0.21
Cebidichthys,violaceus,27.25,-114.75,7211:374:2,0.26
Cebidichthys,violaceus,37.75,-122.75,7312:372:4,0.53
Cebidichthys,violaceus,33.75,-117.75,7311:237:4,0.49
Cebidichthys,violaceus,33.25,-117.75,7311:237:2,0.59
Cebidichthys,violaceus,32.25,-116.75,7311:226:2,0.43
Cebidichthys,violaceus,31.25,-116.75,7311:216:2,0.53
Cebidichthys,violaceus,31.25,-116.25,7311:216:1,0.42
Cebidichthys,violaceus,30.25,-116.25,7311:206:1,0.54
Cebidichthys,violaceus,38.25,-122.25,7312:382:1,0.74
Cebidichthys,violaceus,34.25,-118.25,7311:248:1,0.68
Cebidichthys,violaceus,33.75,-118.75,7311:238:4,0.78
Cebidichthys,violaceus,33.75,-118.25,7311:238:3,0.74
Cebidichthys,violaceus,33.25,-118.25,7311:238:1,0.66
Cebidichthys,violaceus,32.75,-117.25,7311:227:3,0.63
Cebidichthys,violaceus,32.25,-117.25,7311:227:1,0.67
Cebidichthys,violaceus,31.75,-116.75,7311:216:4,0.74
Cebidichthys,violaceus,30.75,-116.25,7311:206:3,0.78
Cebidichthys,violaceus,29.25,-115.25,7211:495:1,0.73
Cebidichthys,violaceus,44.75,-124.25,7412:144:3,0.83
Cebidichthys,violaceus,44.25,-124.25,7412:144:1,1
Cebidichthys,violaceus,43.75,-124.25,7412:134:3,1
Cebidichthys,violaceus,43.25,-124.25,7412:134:1,1
Cebidichthys,violaceus,42.75,-124.75,7412:124:4,0.93
Cebidichthys,violaceus,42.75,-124.25,7412:124:3,0.99
Cebidichthys,violaceus,42.25,-124.25,7412:124:1,0.97
Cebidichthys,violaceus,41.75,-124.25,7412:114:3,0.95
Cebidichthys,violaceus,41.25,-124.25,7412:114:1,1
Cebidichthys,violaceus,40.75,-124.25,7412:104:3,1
Cebidichthys,violaceus,40.25,-124.25,7412:104:1,1
Cebidichthys,violaceus,39.75,-123.75,7312:393:4,1
Cebidichthys,violaceus,39.25,-123.75,7312:393:2,1
Cebidichthys,violaceus,38.75,-123.75,7312:383:4,1
Cebidichthys,violaceus,38.75,-123.25,7312:383:3,1
Cebidichthys,violaceus,38.25,-123.25,7312:383:1,1
Cebidichthys,violaceus,38.25,-122.75,7312:382:2,1
Cebidichthys,violaceus,37.25,-122.25,7312:372:1,1
Cebidichthys,violaceus,36.75,-122.25,7312:362:3,1
Cebidichthys,violaceus,36.75,-121.75,7312:361:4,1
Cebidichthys,violaceus,36.25,-121.75,7312:361:2,1
Cebidichthys,violaceus,36.25,-121.25,7312:361:1,1
Cebidichthys,violaceus,35.75,-121.25,7312:351:3,1
Cebidichthys,violaceus,35.25,-120.75,7312:350:2,1
Cebidichthys,violaceus,34.75,-120.75,7312:140:4,1
Cebidichthys,violaceus,34.75,-120.25,7312:140:3,1
Cebidichthys,violaceus,34.25,-120.25,7312:140:1,1
Cebidichthys,violaceus,33.75,-120.25,7312:130:3,1
Cebidichthys,violaceus,34.25,-119.75,7311:249:2,1
Cebidichthys,violaceus,34.25,-119.25,7311:249:1,1
Cebidichthys,violaceus,34.25,-118.75,7311:248:2,0.88
Cebidichthys,violaceus,33.75,-119.75,7311:239:4,1
Cebidichthys,violaceus,29.75,-115.75,7211:495:4,0.8
