Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lycodes,pacificus,-27.25,-71.25,5207:371:1,0.08
Lycodes,pacificus,-38.75,174.25,3317:384:3,0.01
Lycodes,pacificus,-39.25,174.25,3317:394:1,0.01
Lycodes,pacificus,-39.75,174.25,3317:394:3,0.02
Lycodes,pacificus,-39.75,174.75,3317:394:4,0.01
Lycodes,pacificus,-42.75,169.75,3416:229:4,0.05
Lycodes,pacificus,-43.75,168.25,3416:238:3,0.09
Lycodes,pacificus,-43.75,168.75,3416:238:4,0.1
Lycodes,pacificus,-43.25,169.25,3416:239:1,0.07
Lycodes,pacificus,-43.25,169.75,3416:239:2,0.06
Lycodes,pacificus,-43.75,169.25,3416:239:3,0.1
Lycodes,pacificus,-43.75,169.75,3416:239:4,0.13
Lycodes,pacificus,-44.25,167.75,3416:247:2,0.1
Lycodes,pacificus,-44.75,167.25,3416:247:3,0.13
Lycodes,pacificus,-44.75,167.75,3416:247:4,0.16
Lycodes,pacificus,-44.25,168.25,3416:248:1,0.13
Lycodes,pacificus,-49.25,164.25,3416:394:1,0.08
Lycodes,pacificus,-49.75,164.25,3416:394:3,0.07
Lycodes,pacificus,-45.25,166.75,3416:456:2,0.15
Lycodes,pacificus,-45.75,166.25,3416:456:3,0.16
Lycodes,pacificus,-45.75,166.75,3416:456:4,0.17
Lycodes,pacificus,-45.25,167.25,3416:457:1,0.18
Lycodes,pacificus,-46.25,165.75,3416:465:2,0.09
Lycodes,pacificus,-46.75,165.75,3416:465:4,0.07
Lycodes,pacificus,-46.25,166.25,3416:466:1,0.18
Lycodes,pacificus,-46.75,166.25,3416:466:3,0.09
Lycodes,pacificus,-46.75,166.75,3416:466:4,0.15
Lycodes,pacificus,-47.25,166.75,3416:476:2,0.1
Lycodes,pacificus,-47.75,166.25,3416:476:3,0.09
Lycodes,pacificus,-47.75,166.75,3416:476:4,0.08
Lycodes,pacificus,-47.25,167.25,3416:477:1,0.16
Lycodes,pacificus,-47.75,167.25,3416:477:3,0.13
Lycodes,pacificus,-47.75,167.75,3416:477:4,0.14
Lycodes,pacificus,-47.75,169.25,3416:479:3,0.13
Lycodes,pacificus,-48.25,166.25,3416:486:1,0.09
Lycodes,pacificus,-48.25,166.75,3416:486:2,0.11
Lycodes,pacificus,-48.75,166.25,3416:486:3,0.11
Lycodes,pacificus,-48.75,166.75,3416:486:4,0.08
Lycodes,pacificus,-48.25,167.25,3416:487:1,0.14
Lycodes,pacificus,-48.25,167.75,3416:487:2,0.14
Lycodes,pacificus,-48.75,167.25,3416:487:3,0.07
Lycodes,pacificus,-48.75,167.75,3416:487:4,0.13
Lycodes,pacificus,-48.25,168.25,3416:488:1,0.17
Lycodes,pacificus,-48.25,168.75,3416:488:2,0.08
Lycodes,pacificus,-48.75,168.25,3416:488:3,0.13
Lycodes,pacificus,-49.25,166.75,3416:496:2,0.03
Lycodes,pacificus,-49.75,166.25,3416:496:3,0.06
Lycodes,pacificus,-49.75,166.75,3416:496:4,0.13
Lycodes,pacificus,-49.25,167.25,3416:497:1,0.03
Lycodes,pacificus,-49.75,167.25,3416:497:3,0.11
Lycodes,pacificus,-49.75,167.75,3416:497:4,0.12
Lycodes,pacificus,-49.75,168.25,3416:498:3,0.01
Lycodes,pacificus,-40.75,171.75,3417:101:4,0.04
Lycodes,pacificus,-40.25,172.25,3417:102:1,0.01
Lycodes,pacificus,-40.25,172.75,3417:102:2,0.02
Lycodes,pacificus,-40.75,172.25,3417:102:3,0.09
Lycodes,pacificus,-40.75,172.75,3417:102:4,0.07
Lycodes,pacificus,-40.25,173.25,3417:103:1,0.02
Lycodes,pacificus,-40.25,173.75,3417:103:2,0.02
Lycodes,pacificus,-40.75,173.25,3417:103:3,0.08
Lycodes,pacificus,-40.75,173.75,3417:103:4,0.08
Lycodes,pacificus,-40.25,174.25,3417:104:1,0.01
Lycodes,pacificus,-40.25,174.75,3417:104:2,0.03
Lycodes,pacificus,-40.75,174.25,3417:104:3,0.06
Lycodes,pacificus,-40.75,174.75,3417:104:4,0.03
Lycodes,pacificus,-41.75,170.75,3417:110:4,0.02
Lycodes,pacificus,-41.25,171.25,3417:111:1,0.02
Lycodes,pacificus,-41.25,171.75,3417:111:2,0.15
Lycodes,pacificus,-41.75,171.25,3417:111:3,0.11
Lycodes,pacificus,-41.25,172.25,3417:112:1,0.14
Lycodes,pacificus,-41.25,173.25,3417:113:1,0.11
Lycodes,pacificus,-41.25,173.75,3417:113:2,0.15
Lycodes,pacificus,-41.25,174.25,3417:114:1,0.16
Lycodes,pacificus,-41.25,174.75,3417:114:2,0.09
Lycodes,pacificus,-41.75,174.75,3417:114:4,0.18
Lycodes,pacificus,-42.25,170.75,3417:120:2,0.03
Lycodes,pacificus,-42.75,170.25,3417:120:3,0.04
Lycodes,pacificus,-42.75,170.75,3417:120:4,0.05
Lycodes,pacificus,-42.25,171.25,3417:121:1,0.06
Lycodes,pacificus,-42.75,171.25,3417:121:3,0.12
Lycodes,pacificus,-43.25,170.25,3417:130:1,0.05
Lycodes,pacificus,-43.75,171.75,3417:131:4,0.09
Lycodes,pacificus,-43.25,174.75,3417:134:2,0.19
Lycodes,pacificus,-43.75,174.75,3417:134:4,0.11
Lycodes,pacificus,-40.25,175.25,3417:205:1,0.01
Lycodes,pacificus,-40.75,175.25,3417:205:3,0.03
Lycodes,pacificus,-41.25,175.25,3417:215:1,0.08
Lycodes,pacificus,-41.25,175.75,3417:215:2,0.06
Lycodes,pacificus,-41.75,175.25,3417:215:3,0.15
Lycodes,pacificus,-41.75,175.75,3417:215:4,0.13
Lycodes,pacificus,-41.25,176.25,3417:216:1,0.04
Lycodes,pacificus,-42.75,175.25,3417:225:3,0.06
Lycodes,pacificus,-42.75,175.75,3417:225:4,0.01
Lycodes,pacificus,-42.75,177.25,3417:227:3,0.02
Lycodes,pacificus,-42.75,177.75,3417:227:4,0.03
Lycodes,pacificus,-42.75,178.25,3417:228:3,0.02
Lycodes,pacificus,-42.75,178.75,3417:228:4,0.01
Lycodes,pacificus,-43.25,176.25,3417:236:1,0.13
Lycodes,pacificus,-43.25,176.75,3417:236:2,0.15
Lycodes,pacificus,-43.75,176.25,3417:236:3,0.11
Lycodes,pacificus,-43.25,177.25,3417:237:1,0.15
Lycodes,pacificus,-43.25,177.75,3417:237:2,0.16
Lycodes,pacificus,-43.75,177.25,3417:237:3,0.19
Lycodes,pacificus,-43.25,178.25,3417:238:1,0.08
Lycodes,pacificus,-43.25,178.75,3417:238:2,0.05
Lycodes,pacificus,-43.75,178.25,3417:238:3,0.11
Lycodes,pacificus,-43.75,178.75,3417:238:4,0.09
Lycodes,pacificus,-43.25,179.25,3417:239:1,0.02
Lycodes,pacificus,-43.75,179.25,3417:239:3,0.03
Lycodes,pacificus,-43.75,179.75,3417:239:4,0.03
Lycodes,pacificus,-46.25,171.25,3417:361:1,0.16
Lycodes,pacificus,-49.25,171.25,3417:391:1,0.04
Lycodes,pacificus,-49.25,171.75,3417:391:2,0.1
Lycodes,pacificus,-49.75,171.25,3417:391:3,0.04
Lycodes,pacificus,-49.75,171.75,3417:391:4,0.06
Lycodes,pacificus,-49.25,172.25,3417:392:1,0.11
Lycodes,pacificus,-49.25,172.75,3417:392:2,0.06
Lycodes,pacificus,-49.75,172.25,3417:392:3,0.04
Lycodes,pacificus,-49.25,173.25,3417:393:1,0.03
Lycodes,pacificus,-49.25,173.75,3417:393:2,0.04
Lycodes,pacificus,-49.75,173.75,3417:393:4,0.05
Lycodes,pacificus,-49.25,174.25,3417:394:1,0.03
Lycodes,pacificus,-47.25,178.75,3417:478:2,0.14
Lycodes,pacificus,-47.75,178.75,3417:478:4,0.13
Lycodes,pacificus,-47.25,179.25,3417:479:1,0.15
Lycodes,pacificus,-47.25,179.75,3417:479:2,0.15
Lycodes,pacificus,-47.75,179.25,3417:479:3,0.13
Lycodes,pacificus,-47.75,179.75,3417:479:4,0.14
Lycodes,pacificus,-48.25,178.75,3417:488:2,0.06
Lycodes,pacificus,-48.75,178.75,3417:488:4,0.03
Lycodes,pacificus,-48.25,179.25,3417:489:1,0.12
Lycodes,pacificus,-48.25,179.75,3417:489:2,0.13
Lycodes,pacificus,-48.75,179.25,3417:489:3,0.04
Lycodes,pacificus,-49.75,178.75,3417:498:4,0.09
Lycodes,pacificus,-53.75,159.25,3515:239:3,0.01
Lycodes,pacificus,-52.25,160.25,3516:120:1,0.04
Lycodes,pacificus,-52.25,160.75,3516:120:2,0.04
Lycodes,pacificus,-52.75,160.25,3516:120:3,0.04
Lycodes,pacificus,-52.75,160.75,3516:120:4,0.03
Lycodes,pacificus,-50.25,165.75,3516:205:2,0.11
Lycodes,pacificus,-50.75,165.75,3516:205:4,0.14
Lycodes,pacificus,-50.25,166.25,3516:206:1,0.11
Lycodes,pacificus,-50.25,166.75,3516:206:2,0.15
Lycodes,pacificus,-50.75,166.75,3516:206:4,0.15
Lycodes,pacificus,-50.25,167.25,3516:207:1,0.12
Lycodes,pacificus,-50.25,167.75,3516:207:2,0.09
Lycodes,pacificus,-50.75,167.25,3516:207:3,0.09
Lycodes,pacificus,-50.75,167.75,3516:207:4,0.08
Lycodes,pacificus,-51.25,165.25,3516:215:1,0.07
Lycodes,pacificus,-51.25,165.75,3516:215:2,0.04
Lycodes,pacificus,-51.25,166.25,3516:216:1,0.04
Lycodes,pacificus,-51.25,166.75,3516:216:2,0.01
Lycodes,pacificus,-51.75,166.75,3516:216:4,0.03
Lycodes,pacificus,-51.25,167.25,3516:217:1,0.01
Lycodes,pacificus,-51.75,168.75,3516:218:4,0.09
Lycodes,pacificus,-51.75,169.25,3516:219:3,0.11
Lycodes,pacificus,-51.75,169.75,3516:219:4,0.12
Lycodes,pacificus,-52.25,168.75,3516:228:2,0.06
Lycodes,pacificus,-52.75,168.75,3516:228:4,0.05
Lycodes,pacificus,-52.25,169.25,3516:229:1,0.09
Lycodes,pacificus,-52.25,169.75,3516:229:2,0.12
Lycodes,pacificus,-52.75,169.25,3516:229:3,0.08
Lycodes,pacificus,-52.75,169.75,3516:229:4,0.09
Lycodes,pacificus,-53.25,169.25,3516:239:1,0.03
Lycodes,pacificus,-53.25,169.75,3516:239:2,0.05
Lycodes,pacificus,-50.25,172.25,3517:102:1,0.04
Lycodes,pacificus,-50.75,173.25,3517:103:3,0.01
Lycodes,pacificus,-51.75,170.25,3517:110:3,0.12
Lycodes,pacificus,-51.75,170.75,3517:110:4,0.02
Lycodes,pacificus,-51.25,171.75,3517:111:2,0.01
Lycodes,pacificus,-51.75,171.75,3517:111:4,0.03
Lycodes,pacificus,-51.75,172.25,3517:112:3,0.01
Lycodes,pacificus,-51.75,172.75,3517:112:4,0.05
Lycodes,pacificus,-51.75,173.25,3517:113:3,0.01
Lycodes,pacificus,-52.25,170.25,3517:120:1,0.1
Lycodes,pacificus,-52.25,170.75,3517:120:2,0.02
Lycodes,pacificus,-52.75,170.25,3517:120:3,0.08
Lycodes,pacificus,-52.25,171.25,3517:121:1,0.05
Lycodes,pacificus,-52.25,171.75,3517:121:2,0.04
Lycodes,pacificus,-52.75,171.25,3517:121:3,0.04
Lycodes,pacificus,-52.75,171.75,3517:121:4,0.06
Lycodes,pacificus,-52.25,172.75,3517:122:2,0.04
Lycodes,pacificus,-52.75,172.25,3517:122:3,0.03
Lycodes,pacificus,-52.75,172.75,3517:122:4,0.05
Lycodes,pacificus,-52.25,173.25,3517:123:1,0.01
Lycodes,pacificus,-52.75,173.25,3517:123:3,0.04
Lycodes,pacificus,-53.25,170.25,3517:130:1,0.05
Lycodes,pacificus,-53.25,170.75,3517:130:2,0.03
Lycodes,pacificus,-53.25,171.25,3517:131:1,0.05
Lycodes,pacificus,-53.25,171.75,3517:131:2,0.05
Lycodes,pacificus,-53.75,171.75,3517:131:4,0.01
Lycodes,pacificus,-53.25,172.25,3517:132:1,0.04
Lycodes,pacificus,-53.25,172.75,3517:132:2,0.03
Lycodes,pacificus,-53.25,173.25,3517:133:1,0.01
Lycodes,pacificus,-3.25,-79.75,5007:239:2,0.18
Lycodes,pacificus,-6.75,-79.75,5007:469:4,0.1
Lycodes,pacificus,-7.25,-79.75,5007:479:2,0.15
Lycodes,pacificus,-7.75,-79.25,5007:479:3,0.11
Lycodes,pacificus,-7.75,-79.75,5007:479:4,0.14
Lycodes,pacificus,-8.25,-78.75,5007:488:2,0.1
Lycodes,pacificus,-8.75,-78.75,5007:488:4,0.08
Lycodes,pacificus,-8.25,-79.25,5007:489:1,0.05
Lycodes,pacificus,-8.25,-79.75,5007:489:2,0.11
Lycodes,pacificus,-8.75,-79.25,5007:489:3,0.09
Lycodes,pacificus,-8.75,-79.75,5007:489:4,0.09
Lycodes,pacificus,-9.25,-78.25,5007:498:1,0.07
Lycodes,pacificus,-9.25,-78.75,5007:498:2,0.07
Lycodes,pacificus,-9.75,-78.25,5007:498:3,0.06
