Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pholis,gunnellus,51.75,4.25,1500:114:3,0.1
Pholis,gunnellus,51.75,4.75,1500:114:4,0.16
Pholis,gunnellus,52.25,4.75,1500:124:2,0.15
Pholis,gunnellus,52.25,5.25,1500:225:1,0.12
Pholis,gunnellus,56.75,0.75,1500:360:4,0.19
Pholis,gunnellus,56.75,1.75,1500:361:4,0.19
Pholis,gunnellus,57.25,0.75,1500:370:2,0.17
Pholis,gunnellus,57.75,0.25,1500:370:3,0.13
Pholis,gunnellus,57.75,0.75,1500:370:4,0.14
Pholis,gunnellus,57.25,1.25,1500:371:1,0.19
Pholis,gunnellus,57.25,1.75,1500:371:2,0.18
Pholis,gunnellus,57.75,1.25,1500:371:3,0.15
Pholis,gunnellus,58.25,1.75,1500:381:2,0.15
Pholis,gunnellus,58.75,1.75,1500:381:4,0.04
Pholis,gunnellus,58.75,2.25,1500:382:3,0.19
Pholis,gunnellus,58.25,3.75,1500:383:2,0.19
Pholis,gunnellus,58.75,3.25,1500:383:3,0.09
Pholis,gunnellus,58.25,4.25,1500:384:1,0.14
Pholis,gunnellus,58.25,4.75,1500:384:2,0.16
Pholis,gunnellus,59.25,1.25,1500:391:1,0.01
Pholis,gunnellus,59.75,1.75,1500:391:4,0.03
Pholis,gunnellus,53.75,13.75,1501:133:4,0.19
Pholis,gunnellus,53.75,14.25,1501:134:3,0.12
Pholis,gunnellus,53.75,14.75,1501:134:4,0.18
Pholis,gunnellus,54.25,11.75,1501:141:2,0.18
Pholis,gunnellus,54.25,12.25,1501:142:1,0.15
Pholis,gunnellus,54.75,12.25,1501:142:3,0.09
Pholis,gunnellus,54.75,12.75,1501:142:4,0.06
Pholis,gunnellus,54.25,13.25,1501:143:1,0.17
Pholis,gunnellus,54.25,13.75,1501:143:2,0.16
Pholis,gunnellus,54.75,13.25,1501:143:3,0.05
Pholis,gunnellus,54.75,13.75,1501:143:4,0.03
Pholis,gunnellus,54.25,14.25,1501:144:1,0.16
Pholis,gunnellus,54.25,14.75,1501:144:2,0.16
Pholis,gunnellus,54.75,14.25,1501:144:3,0.03
Pholis,gunnellus,54.75,14.75,1501:144:4,0.01
Pholis,gunnellus,54.25,15.25,1501:245:1,0.11
Pholis,gunnellus,54.25,15.75,1501:245:2,0.09
Pholis,gunnellus,54.25,16.25,1501:246:1,0.17
Pholis,gunnellus,54.75,16.25,1501:246:3,0.04
Pholis,gunnellus,54.75,16.75,1501:246:4,0.07
Pholis,gunnellus,54.75,17.25,1501:247:3,0.13
Pholis,gunnellus,54.75,17.75,1501:247:4,0.16
Pholis,gunnellus,54.25,18.75,1501:248:2,0.14
Pholis,gunnellus,54.75,18.25,1501:248:3,0.15
Pholis,gunnellus,54.75,18.75,1501:248:4,0.15
Pholis,gunnellus,54.25,19.25,1501:249:1,0.1
Pholis,gunnellus,54.25,19.75,1501:249:2,0.13
Pholis,gunnellus,54.75,19.25,1501:249:3,0.08
Pholis,gunnellus,54.75,19.75,1501:249:4,0.15
Pholis,gunnellus,55.25,12.75,1501:352:2,0.07
Pholis,gunnellus,55.25,13.25,1501:353:1,0.02
Pholis,gunnellus,55.25,13.75,1501:353:2,0.01
Pholis,gunnellus,55.25,14.25,1501:354:1,0.01
Pholis,gunnellus,55.75,14.25,1501:354:3,0.15
Pholis,gunnellus,55.75,14.75,1501:354:4,0.1
Pholis,gunnellus,55.75,15.25,1501:455:3,0.02
Pholis,gunnellus,55.75,15.75,1501:455:4,0.01
Pholis,gunnellus,55.25,16.25,1501:456:1,0.01
Pholis,gunnellus,55.25,16.75,1501:456:2,0.02
Pholis,gunnellus,55.75,16.25,1501:456:3,0.01
Pholis,gunnellus,55.75,16.75,1501:456:4,0.01
