seq0_leftend,seq0_rightend,seq1_leftend,seq1_rightend,seq2_leftend,seq2_rightend,seq3_leftend,seq3_rightend,seq4_leftend,seq4_rightend
-14104991,-14119189,7300701,7314877,0,0,0,0,0,0
-21345738,-21351521,2209,8017,4611508,4617300,0,0,0,0
0,0,2178,2208,4611477,4611507,0,0,0,0
-21351526,-21351578,2125,2177,4611424,4611476,0,0,0,0
-1386221,-1388831,20011546,20014156,0,0,0,0,0,0
0,0,2121,2124,4611420,4611423,0,0,0,0
-21351613,-21353721,3,2120,4609306,4611419,0,0,0,0
-21353722,-21355748,0,0,4607267,4609305,0,0,0,0
-1388899,-1390186,20010245,20011541,0,0,0,0,0,0
-1390208,-1390489,20009840,20010121,0,0,0,0,0,0
-1390529,-1390598,20009765,20009834,0,0,0,0,0,0
-1390721,-1392254,20008228,20009761,0,0,0,0,0,0
-1392258,-1393188,20007261,20008200,0,0,0,0,0,0
-1393193,-1393501,20006908,20007232,0,0,0,0,0,0
-21355762,-21360736,0,0,4602131,4607119,0,0,0,0
-21360741,-21361587,0,0,4601222,4602072,0,0,0,0
-1393506,-1393578,20006768,20006843,0,0,0,0,0,0
-2019335,-2019399,19401709,19401773,0,0,2078078,2078142,0,0
-843320,-843623,0,0,0,0,-2060102,-2060405,0,0
-796443,-796559,0,0,0,0,-2059818,-2059934,0,0
-21361614,-21362117,0,0,4600714,4601217,0,0,0,0
-21362122,-21363611,0,0,4599191,4600686,0,0,0,0
-21363618,-21363707,0,0,4599071,4599160,0,0,0,0
-21363744,-21364977,0,0,4597833,4599066,0,0,0,0
-21364999,-21368519,0,0,4594309,4597830,0,0,0,0
-21368523,-21372599,0,0,4590214,4594280,0,0,0,0
-21372604,-21373361,0,0,4589412,4590171,0,0,0,0
-21373366,-21374818,0,0,4587918,4589353,0,0,0,0
-21374852,-21376107,0,0,4586656,4587911,0,0,0,0
-1393585,-1393641,20006589,20006645,0,0,0,0,0,0
-1393646,-1393711,20006469,20006534,0,0,0,0,0,0
-1393716,-1394846,20005118,20006250,0,0,0,0,0,0
-21376142,-21377957,0,0,4584874,4586651,0,0,0,0
-796175,-796424,0,0,0,0,-2059324,-2059573,0,0
-21378110,-21378940,0,0,4583900,4584721,0,0,0,0
-795938,-796157,0,0,0,0,-2059021,-2059266,0,0
-21379088,-21380508,0,0,4582327,4583751,0,0,0,0
-21380513,-21380545,0,0,4582229,4582261,0,0,0,0
-21380599,-21381322,0,0,4581491,4582224,0,0,0,0
-21381327,-21381449,0,0,4581328,4581450,0,0,0,0
-21381453,-21387274,0,0,4575478,4581270,0,0,0,0
-21387289,-21387703,0,0,4575023,4575443,0,0,0,0
-21387707,-21388358,0,0,4574323,4574975,0,0,0,0
-21388515,-21390337,0,0,4572486,4574319,0,0,0,0
-21390342,-21390702,0,0,4571864,4572242,0,0,0,0
-21390741,-21393680,0,0,4568905,4571859,0,0,0,0
-21393685,-21394868,0,0,4567696,4568868,0,0,0,0
-21394889,-21395140,0,0,4567442,4567693,0,0,0,0
-21395171,-21396379,0,0,4566218,4567435,0,0,0,0
-21396384,-21401758,0,0,4560845,4566193,0,0,0,0
-21401760,-21401880,0,0,4560705,4560825,0,0,0,0
-21401913,-21402057,0,0,4560558,4560700,0,0,0,0
-21402128,-21403886,0,0,4558797,4560553,0,0,0,0
-21404017,-21404062,0,0,4558747,4558792,0,0,0,0
-21404093,-21410032,0,0,4552822,4558742,0,0,0,0
-21410059,-21410386,0,0,4552495,4552817,0,0,0,0
-21410406,-21410898,0,0,4551957,4552449,0,0,0,0
-21411025,-21414126,0,0,4548835,4551936,0,0,0,0
-1394852,-1394923,20005017,20005088,0,0,0,0,0,0
-21414131,-21417667,0,0,4545242,4548772,0,0,0,0
-21417672,-21423523,0,0,4539338,4545162,0,0,0,0
-21423530,-21425511,0,0,4537277,4539252,0,0,0,0
-21425532,-21436750,0,0,4526087,4537274,0,0,0,0
-21436777,-21437938,0,0,4524957,4526084,0,0,0,0
-21437943,-21438079,0,0,4524740,4524876,0,0,0,0
-21438099,-21442519,0,0,4520325,4524738,0,0,0,0
-21442524,-21448532,0,0,4514328,4520288,0,0,0,0
-21448552,-21450250,0,0,4512639,4514326,0,0,0,0
-21450255,-21451303,0,0,4511568,4512614,0,0,0,0
-21451341,-21455220,0,0,4507684,4511564,0,0,0,0
-21455232,-21459418,0,0,4503185,4507366,0,0,0,0
-1394928,-1396623,20003226,20004943,0,0,0,0,0,0
-21459422,-21460499,0,0,4502063,4503140,0,0,0,0
-21460504,-21461828,0,0,4500672,4501996,0,0,0,0
-21461838,-21464812,0,0,4497635,4500608,0,0,0,0
-21464817,-21468373,0,0,4493756,4497292,0,0,0,0
-21468393,-21470075,0,0,4492066,4493754,0,0,0,0
-21470080,-21473191,0,0,4488531,4491659,0,0,0,0
-21473213,-21479853,0,0,4481842,4488528,0,0,0,0
-21479858,-21489082,0,0,4472571,4481813,0,0,0,0
-21489177,-21490431,0,0,4471312,4472566,0,0,0,0
-21490434,-21492519,0,0,4469202,4471291,0,0,0,0
-21492523,-21492573,0,0,4469122,4469172,0,0,0,0
-21492647,-21493574,0,0,4468193,4469117,0,0,0,0
-21493604,-21494071,0,0,4467719,4468186,0,0,0,0
-21494818,-21504470,0,0,4458085,4467714,0,0,0,0
-21504492,-21505994,0,0,4456510,4458017,0,0,0,0
-21506000,-21506128,0,0,4456294,4456422,0,0,0,0
-21506133,-21506226,0,0,4456156,4456249,0,0,0,0
-21506231,-21506314,0,0,4455950,4456033,0,0,0,0
-21506319,-21506452,0,0,4455572,4455705,0,0,0,0
-21506457,-21506580,0,0,4455280,4455403,0,0,0,0
-21506585,-21506653,0,0,4454999,4455067,0,0,0,0
-21506656,-21506817,0,0,4454801,4454978,0,0,0,0
-21506820,-21511367,0,0,4450219,4454780,0,0,0,0
0,0,13693306,13694072,4449177,4450142,0,0,0,0
-1396720,-1396760,20003181,20003221,0,0,0,0,0,0
-21511372,-21514332,0,0,4445975,4448941,0,0,0,0
-21514360,-21519819,0,0,4440529,4445970,0,0,0,0
-21522735,-21523451,0,0,4436922,4437633,0,0,0,0
-21523456,-21532704,0,0,4427606,4436891,0,0,0,0
-21532748,-21536073,0,0,4424275,4427601,0,0,0,0
-21536112,-21543756,0,0,4416637,4424270,0,0,0,0
-21543760,-21549844,0,0,4410518,4416599,0,0,0,0
-1396851,-1397229,20002798,20003176,0,0,0,0,0,0
-21549850,-21550913,0,0,4409331,4410394,0,0,0,0
-21551398,-21552858,0,0,4407814,4409291,0,0,0,0
-21552893,-21557827,0,0,4402867,4407809,0,0,0,0
-795820,-795896,0,0,0,0,-2058831,-2058909,0,0
-21557873,-21558854,0,0,4401843,4402821,0,0,0,0
